SCOPE,AGG_LEVEL,YEAR,CAMPUS NUMBER,CAMPUS NAME,GRADE GROUP,DISTRICT NUMBER,DISTRICT NAME,REGION,COUNTY NUMBER,COUNTY NAME,TOTAL ENROLLMENT,TOTAL G & T STUDENTS,TOTAL CTE STUDENTS,TOTAL LEP STUDENTS,TOTAL BILINGUAL STUDENTS,TOTAL ESL STUDENTS,TOTAL ECONOMICALLY DISADVANTAGED STUDENTS,TOTAL TITLE I STUDENTS,TOTAL AT RISK STUDENTS,TOTAL MILITARY CONNECTED STUDENTS,TOTAL FOSTER CARE STUDENTS,TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES,SUM_HOMELESS,TOTAL DYSLEXIC STUDENTS
STATE,CAMPUS,2016-2017,126905103,A G ELDER EL,ELEMENTARY,126905,JOSHUA ISD,11,126,JOHNSON COUNTY,622,18,0,129,95,33,383,622,309,8,-9999999,56,6,22
STATE,CAMPUS,2016-2017,15904042,A LEAL JR MIDDLE,MIDDLE SCHOOL,15904,HARLANDALE ISD,20,15,BEXAR COUNTY,810,61,418,205,113,107,764,810,614,-9999999,-9999999,77,-9999999,53
STATE,CAMPUS,2016-2017,108902104,A M OCHOA EL,ELEMENTARY,108902,DONNA ISD,1,108,HIDALGO COUNTY,451,29,0,179,176,0,400,451,271,0,0,32,20,-9999999
STATE,CAMPUS,2016-2017,220905153,A M PATE EL,ELEMENTARY,220905,FORT WORTH ISD,11,220,TARRANT COUNTY,518,24,0,115,27,100,481,518,372,0,0,38,-9999999,8
STATE,CAMPUS,2016-2017,57905003,A MACEO SMITH NEW TECH H S,HIGH SCHOOL,57905,DALLAS ISD,10,57,DALLAS COUNTY,394,93,394,99,0,89,363,394,195,0,0,18,-9999999,5
STATE,CAMPUS,2016-2017,108913113,A N RICO ELEMENTARY,ELEMENTARY,108913,WESLACO ISD,1,108,HIDALGO COUNTY,846,30,0,388,380,0,745,846,653,6,0,58,17,18
STATE,CAMPUS,2016-2017,20905102,A P BEUTEL EL,ELEMENTARY,20905,BRAZOSPORT ISD,4,20,BRAZORIA COUNTY,519,44,0,33,0,32,183,519,210,12,-9999999,47,20,15
STATE,CAMPUS,2016-2017,108902045,A P SOLIS MIDDLE,MIDDLE SCHOOL,108902,DONNA ISD,1,108,HIDALGO COUNTY,711,102,108,337,0,336,622,711,543,0,0,89,35,5
STATE,CAMPUS,2016-2017,220917101,A V CATO EL,ELEMENTARY,220917,CASTLEBERRY ISD,11,220,TARRANT COUNTY,748,29,0,334,257,77,585,748,524,-9999999,0,48,-9999999,-9999999
STATE,CAMPUS,2016-2017,57816102,A W BROWN - F L A EARLY CHILDHOOD,ELEMENTARY,57816,A W BROWN-FELLOWSHIP LEADERSHIP AC,10,57,DALLAS COUNTY,1240,0,0,16,0,16,1058,1240,246,0,0,29,0,0
STATE,CAMPUS,2016-2017,57829001,A+ ACADEMY,ELEMENTARY / SECONDARY,57829,A+ ACADEMY,10,57,DALLAS COUNTY,1069,29,499,492,366,123,995,1069,736,-9999999,0,105,6,29
STATE,CAMPUS,2016-2017,101871041,A+ UNLIMITED POTENTIAL,MIDDLE SCHOOL,101871,A+ UNLIMITED POTENTIAL,4,101,HARRIS COUNTY,53,0,0,0,0,0,23,0,6,0,0,-9999999,0,0
STATE,CAMPUS,2016-2017,101871102,A+UP UNIVERSITY,MIDDLE SCHOOL,101871,A+ UNLIMITED POTENTIAL,4,101,HARRIS COUNTY,41,0,0,0,0,0,24,0,6,0,0,-9999999,0,0
STATE,CAMPUS,2016-2017,139911102,AARON PARKER EL,ELEMENTARY,139911,NORTH LAMAR ISD,8,139,LAMAR COUNTY,242,18,0,0,0,0,173,242,89,-9999999,0,34,0,-9999999
STATE,CAMPUS,2016-2017,43914042,AB HARRISON INT,MIDDLE SCHOOL,43914,WYLIE ISD,10,43,COLLIN COUNTY,682,98,0,35,0,35,162,0,193,9,0,93,10,51
STATE,CAMPUS,2016-2017,57909143,ABBETT EL,ELEMENTARY,57909,GARLAND ISD,10,57,DALLAS COUNTY,739,15,0,187,138,40,290,739,303,-9999999,-9999999,45,-9999999,18
STATE,CAMPUS,2016-2017,109901001,ABBOTT SCHOOL,ELEMENTARY / SECONDARY,109901,ABBOTT ISD,12,109,HILL COUNTY,284,-9999999,128,-9999999,0,-9999999,74,284,87,0,0,32,-9999999,6
STATE,CAMPUS,2016-2017,165901047,ABELL J H,JUNIOR HIGH SCHOOL,165901,MIDLAND ISD,18,165,MIDLAND COUNTY,986,106,353,115,0,101,410,986,585,14,-9999999,45,-9999999,54
STATE,CAMPUS,2016-2017,95901003,ABERNATHY DAEP,ELEMENTARY / SECONDARY,95901,ABERNATHY ISD,17,95,HALE COUNTY,-9999999,0,0,0,0,0,-9999999,0,-9999999,0,0,0,0,0
STATE,CAMPUS,2016-2017,95901101,ABERNATHY EL,ELEMENTARY,95901,ABERNATHY ISD,17,95,HALE COUNTY,376,35,0,7,0,6,236,375,176,-9999999,6,32,12,20
STATE,CAMPUS,2016-2017,95901001,ABERNATHY H S,HIGH SCHOOL,95901,ABERNATHY ISD,17,95,HALE COUNTY,236,22,232,-9999999,0,-9999999,92,236,69,-9999999,0,20,0,8
STATE,CAMPUS,2016-2017,95901041,ABERNATHY J H,MIDDLE SCHOOL,95901,ABERNATHY ISD,17,95,HALE COUNTY,181,26,0,-9999999,0,-9999999,91,181,85,5,0,22,6,10
STATE,CAMPUS,2016-2017,221901001,ABILENE H S,HIGH SCHOOL,221901,ABILENE ISD,14,221,TAYLOR COUNTY,2118,119,1459,84,0,81,1358,0,1249,19,-9999999,265,84,28
STATE,CAMPUS,2016-2017,71902171,ABOUT FACE PROGRAM EL,ELEMENTARY,71902,EL PASO ISD,19,71,EL PASO COUNTY,-9999999,0,0,-9999999,-9999999,0,-9999999,-9999999,-9999999,-9999999,0,-9999999,0,0
STATE,CAMPUS,2016-2017,15908043,ABRAHAM KAZEN MIDDLE,MIDDLE SCHOOL,15908,SOUTH SAN ANTONIO ISD,20,15,BEXAR COUNTY,480,43,75,75,0,75,405,480,336,-9999999,-9999999,30,22,12
STATE,CAMPUS,2016-2017,220902116,ACADEMY AT CARRIE F THOMAS,ELEMENTARY,220902,BIRDVILLE ISD,11,220,TARRANT COUNTY,658,19,0,278,217,104,485,658,387,5,0,69,5,41
STATE,CAMPUS,2016-2017,14901102,ACADEMY EL,ELEMENTARY,14901,ACADEMY ISD,12,14,BELL COUNTY,407,11,0,31,0,29,197,407,191,26,-9999999,31,7,-9999999
STATE,CAMPUS,2016-2017,221901010,ACADEMY FOR TECHNOLOGY ENGINEERING,HIGH SCHOOL,221901,ABILENE ISD,14,221,TAYLOR COUNTY,361,38,361,-9999999,0,-9999999,173,0,139,0,0,13,-9999999,-9999999
STATE,CAMPUS,2016-2017,14901001,ACADEMY H S,HIGH SCHOOL,14901,ACADEMY ISD,12,14,BELL COUNTY,452,40,376,7,0,7,121,452,145,10,-9999999,36,-9999999,13
STATE,CAMPUS,2016-2017,14901101,ACADEMY INT,ELEMENTARY,14901,ACADEMY ISD,12,14,BELL COUNTY,332,37,0,24,0,24,133,332,41,-9999999,0,21,-9999999,7
STATE,CAMPUS,2016-2017,14901041,ACADEMY J H,MIDDLE SCHOOL,14901,ACADEMY ISD,12,14,BELL COUNTY,332,27,0,11,0,11,117,332,69,-9999999,0,26,-9999999,16
STATE,CAMPUS,2016-2017,101810002,ACADEMY OF ACCELERATED LEARNING,ELEMENTARY,101810,ACADEMY OF ACCELERATED LEARNING IN,4,101,HARRIS COUNTY,761,0,0,442,215,225,749,761,442,0,0,8,-9999999,0
STATE,CAMPUS,2016-2017,101920016,ACADEMY OF CHOICE,ELEMENTARY / SECONDARY,101920,SPRING BRANCH ISD,4,101,HARRIS COUNTY,169,5,52,35,0,33,107,-9999999,142,0,0,8,-9999999,-9999999
STATE,CAMPUS,2016-2017,15910008,ACADEMY OF CREATIVE ED,HIGH SCHOOL,15910,NORTH EAST ISD,20,15,BEXAR COUNTY,110,0,41,0,0,0,39,-9999999,107,6,0,-9999999,-9999999,-9999999
STATE,CAMPUS,2016-2017,57810101,ACADEMY OF DALLAS,ELEMENTARY,57810,ACADEMY OF DALLAS,10,57,DALLAS COUNTY,476,0,0,71,0,70,472,476,409,0,0,50,0,-9999999
STATE,CAMPUS,2016-2017,101849041,ACCELERATED INT CHARTER SCHOOL,JUNIOR HIGH SCHOOL,101849,ACCELERATED INTERMEDIATE ACADEMY,4,101,HARRIS COUNTY,9,0,0,-9999999,0,-9999999,8,9,7,0,0,-9999999,0,0
STATE,CAMPUS,2016-2017,101849101,ACCELERATED INTERDISCIPLINARY ACAD,ELEMENTARY,101849,ACCELERATED INTERMEDIATE ACADEMY,4,101,HARRIS COUNTY,266,0,0,96,0,96,253,266,155,0,0,10,0,0
STATE,CAMPUS,2016-2017,178801101,ACCELERATED LEARNING CENTER,ELEMENTARY / SECONDARY,178801,DR M L GARZA-GONZALEZ CHARTER SCHO,2,178,NUECES COUNTY,48,0,0,17,0,17,45,48,40,-9999999,0,0,-9999999,0
STATE,CAMPUS,2016-2017,43914004,ACHIEVE ACADEMY,ELEMENTARY / SECONDARY,43914,WYLIE ISD,10,43,COLLIN COUNTY,133,-9999999,24,-9999999,0,-9999999,48,132,127,0,0,19,6,5
STATE,CAMPUS,2016-2017,108906011,ACHIEVE EARLY COLLEGE H S,HIGH SCHOOL,108906,MCALLEN ISD,1,108,HIDALGO COUNTY,436,74,264,28,0,28,323,436,168,0,0,9,-9999999,6
STATE,CAMPUS,2016-2017,57914132,ACHZIGER EL,ELEMENTARY,57914,MESQUITE ISD,10,57,DALLAS COUNTY,978,22,0,541,501,32,740,978,698,0,-9999999,104,-9999999,33
STATE,CAMPUS,2016-2017,111901102,ACTON EL,ELEMENTARY,111901,GRANBURY ISD,11,111,HOOD COUNTY,796,63,0,39,0,36,312,796,221,10,-9999999,59,12,58
STATE,CAMPUS,2016-2017,111901042,ACTON MIDDLE,MIDDLE SCHOOL,111901,GRANBURY ISD,11,111,HOOD COUNTY,810,105,120,42,0,42,295,230,337,19,-9999999,74,21,49
STATE,CAMPUS,2016-2017,126903107,AD WHEAT MIDDLE,MIDDLE SCHOOL,126903,CLEBURNE ISD,11,126,JOHNSON COUNTY,681,77,228,167,0,167,525,681,422,7,-9999999,56,24,63
STATE,CAMPUS,2016-2017,246913102,ADA MAE FAUBION EL,ELEMENTARY,246913,LEANDER ISD,13,246,WILLIAMSON COUNTY,472,80,0,21,0,21,129,42,163,-9999999,0,48,-9999999,13
STATE,CAMPUS,2016-2017,101907107,ADAM ELEMENTARY,ELEMENTARY,101907,CYPRESS-FAIRBANKS ISD,4,101,HARRIS COUNTY,850,35,0,171,77,88,435,-9999999,351,14,-9999999,72,-9999999,0
STATE,CAMPUS,2016-2017,126903101,ADAMS EL,ELEMENTARY,126903,CLEBURNE ISD,11,126,JOHNSON COUNTY,427,23,0,60,0,58,303,427,223,7,0,34,28,30
STATE,CAMPUS,2016-2017,220901161,ADAMS EL,ELEMENTARY,220901,ARLINGTON ISD,11,220,TARRANT COUNTY,870,45,0,378,160,213,752,870,654,13,0,46,27,6
STATE,CAMPUS,2016-2017,15915123,ADAMS HILL EL,ELEMENTARY,15915,NORTHSIDE ISD,20,15,BEXAR COUNTY,555,26,0,19,0,-9999999,466,555,227,14,-9999999,72,11,-9999999
STATE,CAMPUS,2016-2017,125901043,ADAMS MIDDLE,JUNIOR HIGH SCHOOL,125901,ALICE ISD,2,125,JIM WELLS COUNTY,728,27,177,21,0,19,559,728,426,0,-9999999,63,6,42
STATE,CAMPUS,2016-2017,57905247,ADELFA BOTELLO CALLEJO EL,ELEMENTARY,57905,DALLAS ISD,10,57,DALLAS COUNTY,669,40,0,377,339,0,641,669,444,0,0,48,0,13
STATE,CAMPUS,2016-2017,57905219,ADELLE TURNER EL,ELEMENTARY,57905,DALLAS ISD,10,57,DALLAS COUNTY,326,42,0,16,7,5,276,326,95,0,-9999999,22,5,6
STATE,CAMPUS,2016-2017,178904057,ADKINS MIDDLE,MIDDLE SCHOOL,178904,CORPUS CHRISTI ISD,2,178,NUECES COUNTY,626,0,0,11,0,11,329,626,309,21,-9999999,59,7,31
STATE,CAMPUS,2016-2017,101903199,ADMIN SERVICES,ELEMENTARY / SECONDARY,101903,ALIEF ISD,4,101,HARRIS COUNTY,53,0,0,-9999999,0,0,22,14,28,0,0,39,-9999999,-9999999
STATE,CAMPUS,2016-2017,180903001,ADRIAN SCHOOL,ELEMENTARY / SECONDARY,180903,ADRIAN ISD,16,180,OLDHAM COUNTY,138,8,49,8,0,8,87,138,75,0,0,16,0,15
STATE,CAMPUS,2016-2017,227909005,ADULT TRANSITION SERVICES,HIGH SCHOOL,227909,EANES ISD,13,227,TRAVIS COUNTY,27,0,0,0,0,0,0,0,6,-9999999,0,27,0,0
STATE,CAMPUS,2016-2017,101912462,ADVANCED VIRTUAL ACADEMY,HIGH SCHOOL,101912,HOUSTON ISD,4,101,HARRIS COUNTY,211,7,0,35,0,30,168,211,202,0,0,11,0,-9999999
STATE,CAMPUS,2016-2017,57806101,ADVANTAGE ACADEMY,ELEMENTARY / SECONDARY,57806,ADVANTAGE ACADEMY,10,57,DALLAS COUNTY,1650,43,593,406,0,397,1231,1650,1177,-9999999,7,95,41,32
STATE,CAMPUS,2016-2017,15907117,AGNES COTTON EL,ELEMENTARY,15907,SAN ANTONIO ISD,20,15,BEXAR COUNTY,499,9,0,160,134,13,468,499,384,-9999999,-9999999,50,22,9
STATE,CAMPUS,2016-2017,57914041,AGNEW MIDDLE,JUNIOR HIGH SCHOOL,57914,MESQUITE ISD,10,57,DALLAS COUNTY,797,61,184,89,0,83,603,797,428,0,0,79,8,69
STATE,CAMPUS,2016-2017,178901101,AGUA DULCE ELEMENTARY SCHOOL,ELEMENTARY,178901,AGUA DULCE ISD,2,178,NUECES COUNTY,153,0,0,-9999999,0,-9999999,122,151,93,0,0,6,0,0
STATE,CAMPUS,2016-2017,178901001,AGUA DULCE H S,ELEMENTARY / SECONDARY,178901,AGUA DULCE ISD,2,178,NUECES COUNTY,205,-9999999,94,0,0,0,133,-9999999,115,0,0,20,0,0
STATE,CAMPUS,2016-2017,101905043,AGUIRRE J H,MIDDLE SCHOOL,101905,CHANNELVIEW ISD,4,101,HARRIS COUNTY,1002,52,475,194,0,168,803,1002,527,0,0,99,15,15
STATE,CAMPUS,2016-2017,101849105,AIA LANCASTER EL,ELEMENTARY,101849,ACCELERATED INTERMEDIATE ACADEMY,4,101,HARRIS COUNTY,8,0,0,-9999999,0,-9999999,8,8,-9999999,0,0,0,0,0
STATE,CAMPUS,2016-2017,108909113,AIDA C ESCOBAR EL,ELEMENTARY,108909,PHARR-SAN JUAN-ALAMO ISD,1,108,HIDALGO COUNTY,804,32,0,398,377,-9999999,732,804,725,-9999999,-9999999,38,0,-9999999
STATE,CAMPUS,2016-2017,31901133,AIKEN EL,ELEMENTARY,31901,BROWNSVILLE ISD,1,31,CAMERON COUNTY,786,49,0,446,444,-9999999,756,786,597,-9999999,0,63,12,13
STATE,CAMPUS,2016-2017,57916135,AIKIN EL,ELEMENTARY,57916,RICHARDSON ISD,10,57,DALLAS COUNTY,747,15,0,443,244,197,645,747,565,0,5,65,-9999999,21
STATE,CAMPUS,2016-2017,139909109,AIKIN EL,ELEMENTARY,139909,PARIS ISD,8,139,LAMAR COUNTY,869,110,0,61,0,51,664,869,445,6,-9999999,136,19,26
STATE,CAMPUS,2016-2017,59901101,AIKMAN EL,ELEMENTARY,59901,HEREFORD ISD,16,59,DEAF SMITH COUNTY,436,6,0,98,77,13,373,436,260,6,-9999999,30,0,6
STATE,CAMPUS,2016-2017,181907002,AIM CENTER H S,HIGH SCHOOL,181907,VIDOR ISD,5,181,ORANGE COUNTY,54,0,10,0,0,0,27,0,44,0,0,14,-9999999,-9999999
STATE,CAMPUS,2016-2017,84902007,AIM COLLEGE & CAREER PREP,ELEMENTARY / SECONDARY,84902,GALVESTON ISD,4,84,GALVESTON COUNTY,76,0,20,5,0,5,58,76,66,0,0,7,-9999999,6
STATE,CAMPUS,2016-2017,108913110,AIRPORT ELEMENTARY,ELEMENTARY,108913,WESLACO ISD,1,108,HIDALGO COUNTY,655,22,0,189,182,0,549,655,453,5,0,41,0,9
STATE,CAMPUS,2016-2017,95903102,AKIN EL,ELEMENTARY,95903,HALE CENTER ISD,17,95,HALE COUNTY,262,0,0,28,0,27,191,262,125,0,-9999999,12,0,-9999999
STATE,CAMPUS,2016-2017,227901017,AKINS H S,HIGH SCHOOL,227901,AUSTIN ISD,13,227,TRAVIS COUNTY,2680,195,2260,329,-9999999,313,1673,29,1590,8,-9999999,318,30,198
STATE,CAMPUS,2016-2017,101911101,ALAMO EL,ELEMENTARY,101911,GOOSE CREEK CISD,4,101,HARRIS COUNTY,782,67,0,233,208,18,543,782,445,-9999999,-9999999,79,25,13
STATE,CAMPUS,2016-2017,186902102,ALAMO EL,ELEMENTARY,186902,FORT STOCKTON ISD,18,186,PECOS COUNTY,517,-9999999,0,51,22,27,376,517,344,-9999999,0,39,0,10
STATE,CAMPUS,2016-2017,15901001,ALAMO HEIGHTS H S,HIGH SCHOOL,15901,ALAMO HEIGHTS ISD,20,15,BEXAR COUNTY,1596,329,591,28,0,24,270,0,383,27,0,99,-9999999,91
STATE,CAMPUS,2016-2017,15901041,ALAMO HEIGHTS J H,MIDDLE SCHOOL,15901,ALAMO HEIGHTS ISD,20,15,BEXAR COUNTY,1143,296,0,55,20,46,232,0,361,5,0,88,-9999999,87
STATE,CAMPUS,2016-2017,165901041,ALAMO J H,JUNIOR HIGH SCHOOL,165901,MIDLAND ISD,18,165,MIDLAND COUNTY,731,28,331,67,0,63,444,731,526,-9999999,-9999999,55,6,42
STATE,CAMPUS,2016-2017,15822004,ALAMO LEADERSHIP ACADEMY,ELEMENTARY / SECONDARY,15822,JUBILEE ACADEMIC CENTER,20,15,BEXAR COUNTY,99,0,0,52,0,49,89,99,69,0,0,-9999999,5,-9999999
STATE,CAMPUS,2016-2017,108909042,ALAMO MIDDLE,MIDDLE SCHOOL,108909,PHARR-SAN JUAN-ALAMO ISD,1,108,HIDALGO COUNTY,655,59,116,275,0,272,614,655,439,-9999999,-9999999,57,0,-9999999
STATE,CAMPUS,2016-2017,15908042,ALAN B SHEPARD MIDDLE,MIDDLE SCHOOL,15908,SOUTH SAN ANTONIO ISD,20,15,BEXAR COUNTY,607,51,93,85,0,83,504,607,462,-9999999,0,47,19,23
STATE,CAMPUS,2016-2017,250906101,ALBA-GOLDEN EL,ELEMENTARY,250906,ALBA-GOLDEN ISD,7,250,WOOD COUNTY,450,10,0,13,0,13,248,450,165,-9999999,7,39,27,9
STATE,CAMPUS,2016-2017,250906001,ALBA-GOLDEN H S,ELEMENTARY / SECONDARY,250906,ALBA-GOLDEN ISD,7,250,WOOD COUNTY,429,31,282,-9999999,0,-9999999,216,429,154,-9999999,-9999999,49,13,29
STATE,CAMPUS,2016-2017,209901001,ALBANY JR-SR H S,HIGH SCHOOL,209901,ALBANY ISD,14,209,SHACKELFORD COUNTY,226,10,159,-9999999,0,-9999999,74,226,42,-9999999,-9999999,16,5,7
STATE,CAMPUS,2016-2017,43907118,ALBERT & IOLA LEE DAVIS MALVERN EL,ELEMENTARY,43907,MCKINNEY ISD,10,43,COLLIN COUNTY,531,8,0,206,183,25,380,531,283,0,-9999999,67,20,7
STATE,CAMPUS,2016-2017,116903104,ALBERT C WILLIAMS EL,ELEMENTARY,116903,COMMERCE ISD,10,116,HUNT COUNTY,376,29,0,52,0,52,246,376,219,-9999999,0,44,-9999999,20
STATE,CAMPUS,2016-2017,57905163,ALBERT SIDNEY JOHNSTON EL,ELEMENTARY,57905,DALLAS ISD,10,57,DALLAS COUNTY,443,42,0,135,137,0,405,443,207,0,0,41,0,6
STATE,CAMPUS,2016-2017,101903045,ALBRIGHT MIDDLE,JUNIOR HIGH SCHOOL,101903,ALIEF ISD,4,101,HARRIS COUNTY,1100,96,70,167,23,155,840,1100,854,-9999999,0,48,13,37
STATE,CAMPUS,2016-2017,101912102,ALCOTT EL,ELEMENTARY,101912,HOUSTON ISD,4,101,HARRIS COUNTY,291,6,0,65,31,28,280,291,209,0,0,30,14,-9999999
STATE,CAMPUS,2016-2017,152901194,ALDERSON EL,ELEMENTARY,152901,LUBBOCK ISD,17,152,LUBBOCK COUNTY,593,-9999999,0,6,0,6,588,593,316,0,15,68,15,-9999999
STATE,CAMPUS,2016-2017,101902001,ALDINE H S,HIGH SCHOOL,101902,ALDINE ISD,4,101,HARRIS COUNTY,2578,60,2241,657,0,636,2152,2578,2040,0,-9999999,147,-9999999,62
STATE,CAMPUS,2016-2017,101902099,ALDINE J J A E P,ELEMENTARY / SECONDARY,101902,ALDINE ISD,4,101,HARRIS COUNTY,-9999999,0,0,-9999999,0,-9999999,0,0,-9999999,0,0,0,0,0
STATE,CAMPUS,2016-2017,101902041,ALDINE MIDDLE,JUNIOR HIGH SCHOOL,101902,ALDINE ISD,4,101,HARRIS COUNTY,899,35,320,225,0,225,838,899,673,-9999999,-9999999,66,5,47
STATE,CAMPUS,2016-2017,101902081,ALDINE NINTH GRADE SCHOOL,HIGH SCHOOL,101902,ALDINE ISD,4,101,HARRIS COUNTY,803,31,621,214,0,211,735,803,621,-9999999,-9999999,42,-9999999,26
STATE,CAMPUS,2016-2017,43910106,ALDRIDGE EL,ELEMENTARY,43910,PLANO ISD,10,43,COLLIN COUNTY,563,68,0,101,0,101,104,0,194,0,0,46,0,7
STATE,CAMPUS,2016-2017,184907001,ALEDO H S,HIGH SCHOOL,184907,ALEDO ISD,11,184,PARKER COUNTY,1238,101,848,15,0,15,120,5,332,67,-9999999,80,5,30
STATE,CAMPUS,2016-2017,184907041,ALEDO MIDDLE,JUNIOR HIGH SCHOOL,184907,ALEDO ISD,11,184,PARKER COUNTY,847,68,144,10,0,10,87,0,212,26,-9999999,44,-9999999,32
STATE,CAMPUS,2016-2017,57905206,ALEX SANGER EL,ELEMENTARY,57905,DALLAS ISD,10,57,DALLAS COUNTY,532,97,0,268,338,0,440,532,301,6,-9999999,24,-9999999,10
STATE,CAMPUS,2016-2017,57905355,ALEX SANGER PREPARATORY MIDDLE,MIDDLE SCHOOL,57905,DALLAS ISD,10,57,DALLAS COUNTY,108,27,0,61,32,26,95,108,82,0,0,5,0,5
STATE,CAMPUS,2016-2017,57905058,ALEX W SPENCE TALENTED/GIFTED ACAD,MIDDLE SCHOOL,57905,DALLAS ISD,10,57,DALLAS COUNTY,787,258,0,323,-9999999,290,702,787,533,0,0,59,39,31
STATE,CAMPUS,2016-2017,101903114,ALEXANDER EL,ELEMENTARY,101903,ALIEF ISD,4,101,HARRIS COUNTY,796,26,0,456,308,178,655,796,530,8,0,48,30,-9999999
STATE,CAMPUS,2016-2017,20908115,ALEXANDER MIDDLE,MIDDLE SCHOOL,20908,PEARLAND ISD,4,20,BRAZORIA COUNTY,705,29,0,6,0,0,184,-9999999,182,13,-9999999,79,-9999999,42
STATE,CAMPUS,2016-2017,71904104,ALFONSO BORREGO SR EL,ELEMENTARY,71904,SAN ELIZARIO ISD,19,71,EL PASO COUNTY,468,21,0,313,261,0,442,468,374,0,0,50,8,-9999999
STATE,CAMPUS,2016-2017,108904129,ALFONSO RAMIREZ EL,ELEMENTARY,108904,EDINBURG CISD,1,108,HIDALGO COUNTY,570,39,0,199,193,-9999999,450,570,333,-9999999,-9999999,41,-9999999,-9999999
STATE,CAMPUS,2016-2017,108909112,ALFRED SORENSEN EL,ELEMENTARY,108909,PHARR-SAN JUAN-ALAMO ISD,1,108,HIDALGO COUNTY,667,47,0,260,265,0,521,667,503,-9999999,0,38,-9999999,-9999999
STATE,CAMPUS,2016-2017,220905101,ALICE CARLSON APPLIED LRN CTR,ELEMENTARY,220905,FORT WORTH ISD,11,220,TARRANT COUNTY,393,81,0,15,0,14,68,0,210,-9999999,0,25,-9999999,7
STATE,CAMPUS,2016-2017,220905220,ALICE D CONTRERAS,ELEMENTARY,220905,FORT WORTH ISD,11,220,TARRANT COUNTY,686,35,0,429,412,-9999999,599,686,577,-9999999,0,39,-9999999,19
STATE,CAMPUS,2016-2017,125901001,ALICE H S,HIGH SCHOOL,125901,ALICE ISD,2,125,JIM WELLS COUNTY,1336,127,1278,48,0,42,937,1336,685,-9999999,5,105,-9999999,56
STATE,CAMPUS,2016-2017,101905041,ALICE JOHNSON J H,MIDDLE SCHOOL,101905,CHANNELVIEW ISD,4,101,HARRIS COUNTY,1108,48,447,282,0,270,921,1108,621,0,0,126,26,26
STATE,CAMPUS,2016-2017,220908101,ALICE PONDER EL,ELEMENTARY,220908,MANSFIELD ISD,11,220,TARRANT COUNTY,630,12,0,240,199,43,400,630,344,-9999999,0,55,-9999999,-9999999
