SCOPE,AGG_LEVEL,YEAR,CAMPUS NUMBER,CAMPUS NAME,DISTRICT NUMBER,DISTRICT NAME,REGION,COUNTY NUMBER,COUNTY NAME,TOTAL ENROLLMENT,TOTAL G & T STUDENTS,TOTAL CTE STUDENTS,TOTAL LEP STUDENTS,TOTAL BILINGUAL STUDENTS,TOTAL ESL STUDENTS,TOTAL ECONOMICALLY DISADVANTAGED STUDENTS,TOTAL TITLE I STUDENTS,TOTAL AT RISK STUDENTS,TOTAL MILITARY CONNECTED STUDENTS,TOTAL FOSTER CARE STUDENTS,TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES,TOTAL DYSLEXIC STUDENTS
STATE,CAMPUS,2014-2015,221901142,ABILENE BEHAVIORAL HEALTH,221901,ABILENE ISD,14,221,TAYLOR COUNTY,35,-9999999,-9999999,0,0,0,6,0,13,0,0,13,0
STATE,CAMPUS,2014-2015,221901001,ABILENE H S,221901,ABILENE ISD,14,221,TAYLOR COUNTY,1925,127,1453,49,0,49,1023,67,958,41,-9999999,246,20
STATE,CAMPUS,2014-2015,71902171,ABOUT FACE PROGRAM EL,71902,EL PASO ISD,19,71,EL PASO COUNTY,12,0,0,-9999999,-9999999,0,9,0,12,-9999999,0,-9999999,0
STATE,CAMPUS,2014-2015,15908043,ABRAHAM KAZEN MIDDLE,15908,SOUTH SAN ANTONIO ISD,20,15,BEXAR COUNTY,481,27,67,63,0,56,459,481,367,-9999999,0,46,12
STATE,CAMPUS,2014-2015,220902116,ACADEMY AT CARRIE F THOMAS,220902,BIRDVILLE ISD,11,220,TARRANT COUNTY,692,28,0,291,258,101,508,692,484,-9999999,0,52,32
STATE,CAMPUS,2014-2015,220902111,ACADEMY AT WEST BIRDVILLE,220902,BIRDVILLE ISD,11,220,TARRANT COUNTY,700,20,0,446,389,56,622,700,593,0,0,42,18
STATE,CAMPUS,2014-2015,14901101,ACADEMY EL,14901,ACADEMY ISD,12,14,BELL COUNTY,545,16,0,47,0,47,285,545,211,14,-9999999,30,10
STATE,CAMPUS,2014-2015,221901010,ACADEMY FOR TECHNOLOGY ENGINEERING,221901,ABILENE ISD,14,221,TAYLOR COUNTY,393,37,389,0,0,0,175,10,141,32,0,14,-9999999
STATE,CAMPUS,2014-2015,14901001,ACADEMY H S,14901,ACADEMY ISD,12,14,BELL COUNTY,413,35,341,-9999999,0,-9999999,96,413,111,13,-9999999,34,9
STATE,CAMPUS,2014-2015,14901041,ACADEMY J H,14901,ACADEMY ISD,12,14,BELL COUNTY,406,40,0,9,0,9,157,406,143,8,0,34,13
STATE,CAMPUS,2014-2015,101810002,ACADEMY OF ACCELERATED LEARNING,101810,ACADEMY OF ACCELERATED LEARNING IN,4,101,HARRIS COUNTY,747,0,0,419,314,104,737,747,440,0,0,12,0
STATE,CAMPUS,2014-2015,15816001,ACADEMY OF CAREERS AND TECHNOLOGIE,15816,ACADEMY OF CAREERS AND TECHNOLOGIE,20,15,BEXAR COUNTY,222,-9999999,222,-9999999,0,7,81,222,217,0,0,11,0
STATE,CAMPUS,2014-2015,101920016,ACADEMY OF CHOICE,101920,SPRING BRANCH ISD,4,101,HARRIS COUNTY,144,6,44,22,0,22,90,-9999999,115,0,0,11,-9999999
STATE,CAMPUS,2014-2015,15910008,ACADEMY OF CREATIVE ED,15910,NORTH EAST ISD,20,15,BEXAR COUNTY,158,0,5,-9999999,0,-9999999,54,10,148,-9999999,0,8,6
STATE,CAMPUS,2014-2015,57810101,ACADEMY OF DALLAS,57810,ACADEMY OF DALLAS,10,57,DALLAS COUNTY,644,0,0,68,0,64,565,644,348,0,0,15,5
STATE,CAMPUS,2014-2015,101849101,ACCELERATED INTERDISCIPLINARY ACAD,101849,ACCELERATED INTERMEDIATE ACADEMY,4,101,HARRIS COUNTY,254,0,0,98,0,97,243,254,148,0,0,19,0
STATE,CAMPUS,2014-2015,178801101,ACCELERATED LEARNING CENTER,178801,DR M L GARZA-GONZALEZ CHARTER SCHO,2,178,NUECES COUNTY,76,0,0,37,37,0,61,76,61,-9999999,-9999999,0,0
STATE,CAMPUS,2014-2015,43914004,ACHIEVE ACADEMY,43914,WYLIE ISD,10,43,COLLIN COUNTY,140,-9999999,7,12,0,11,53,0,134,0,0,19,5
STATE,CAMPUS,2014-2015,108906011,ACHIEVE EARLY COLLEGE H S,108906,MCALLEN ISD,1,108,HIDALGO COUNTY,408,78,290,19,0,19,308,408,167,0,0,-9999999,-9999999
STATE,CAMPUS,2014-2015,57914132,ACHZIGER EL,57914,MESQUITE ISD,10,57,DALLAS COUNTY,914,23,0,538,510,22,686,914,653,0,-9999999,92,17
STATE,CAMPUS,2014-2015,111901102,ACTON EL,111901,GRANBURY ISD,11,111,HOOD COUNTY,727,71,0,34,0,33,279,727,217,10,-9999999,65,28
STATE,CAMPUS,2014-2015,111901042,ACTON MIDDLE,111901,GRANBURY ISD,11,111,HOOD COUNTY,821,84,138,24,0,24,305,310,350,10,-9999999,86,36
STATE,CAMPUS,2014-2015,126903107,AD WHEAT MIDDLE,126903,CLEBURNE ISD,11,126,JOHNSON COUNTY,701,86,105,146,-9999999,145,550,700,420,5,7,67,53
STATE,CAMPUS,2014-2015,246913102,ADA MAE FAUBION EL,246913,LEANDER ISD,13,246,WILLIAMSON COUNTY,534,78,0,23,0,23,182,41,147,0,-9999999,62,17
STATE,CAMPUS,2014-2015,101907107,ADAM ELEMENTARY,101907,CYPRESS-FAIRBANKS ISD,4,101,HARRIS COUNTY,867,41,0,182,92,83,401,862,477,7,0,65,7
STATE,CAMPUS,2014-2015,126903101,ADAMS EL,126903,CLEBURNE ISD,11,126,JOHNSON COUNTY,435,46,0,57,0,56,308,435,252,7,-9999999,50,25
STATE,CAMPUS,2014-2015,220901161,ADAMS EL,220901,ARLINGTON ISD,11,220,TARRANT COUNTY,841,10,0,347,126,218,717,841,627,0,0,61,-9999999
STATE,CAMPUS,2014-2015,15915123,ADAMS HILL EL,15915,NORTHSIDE ISD,20,15,BEXAR COUNTY,580,33,0,18,-9999999,7,486,574,197,19,-9999999,65,10
STATE,CAMPUS,2014-2015,125901043,ADAMS MIDDLE,125901,ALICE ISD,2,125,JIM WELLS COUNTY,746,67,137,27,0,26,588,746,241,-9999999,-9999999,67,39
STATE,CAMPUS,2014-2015,36901004,ADAPTIVE BEHAVIOR UNIT,36901,ANAHUAC ISD,4,36,CHAMBERS COUNTY,-9999999,0,0,0,0,0,0,0,-9999999,0,0,-9999999,0
STATE,CAMPUS,2014-2015,57905247,ADELFA BOTELLO CALLEJO EL,57905,DALLAS ISD,10,57,DALLAS COUNTY,711,59,0,373,338,0,696,711,505,0,0,49,5
STATE,CAMPUS,2014-2015,57905219,ADELLE TURNER EL,57905,DALLAS ISD,10,57,DALLAS COUNTY,416,33,0,20,-9999999,12,308,416,185,0,-9999999,32,5
STATE,CAMPUS,2014-2015,101903199,ADMIN SERVICES,101903,ALIEF ISD,4,101,HARRIS COUNTY,50,0,0,-9999999,0,-9999999,20,-9999999,31,0,0,49,11
STATE,CAMPUS,2014-2015,180903001,ADRIAN SCHOOL,180903,ADRIAN ISD,16,180,OLDHAM COUNTY,117,-9999999,51,11,0,10,76,117,40,0,0,18,8
STATE,CAMPUS,2014-2015,227909005,ADULT TRANSITION SERVICES,227909,EANES ISD,13,227,TRAVIS COUNTY,40,0,0,0,0,0,-9999999,0,7,0,0,40,0
STATE,CAMPUS,2014-2015,101912462,ADVANCED VIRTUAL ACADEMY,101912,HOUSTON ISD,4,101,HARRIS COUNTY,300,8,7,35,0,34,172,299,287,0,0,18,0
STATE,CAMPUS,2014-2015,57806101,ADVANTAGE ACADEMY,57806,ADVANTAGE ACADEMY,10,57,DALLAS COUNTY,1633,21,291,422,30,364,1209,1633,1115,-9999999,-9999999,117,38
STATE,CAMPUS,2014-2015,15907117,AGNES COTTON EL,15907,SAN ANTONIO ISD,20,15,BEXAR COUNTY,275,-9999999,0,85,81,0,250,275,187,-9999999,-9999999,34,-9999999
STATE,CAMPUS,2014-2015,57914041,AGNEW MIDDLE,57914,MESQUITE ISD,10,57,DALLAS COUNTY,745,56,153,84,0,78,521,-9999999,259,0,0,80,45
STATE,CAMPUS,2014-2015,178901101,AGUA DULCE ELEMENTARY SCHOOL,178901,AGUA DULCE ISD,2,178,NUECES COUNTY,177,0,0,-9999999,0,-9999999,130,177,102,0,0,8,0
STATE,CAMPUS,2014-2015,178901001,AGUA DULCE H S,178901,AGUA DULCE ISD,2,178,NUECES COUNTY,220,10,100,-9999999,0,-9999999,132,220,132,0,0,21,0
STATE,CAMPUS,2014-2015,101905043,AGUIRRE J H,101905,CHANNELVIEW ISD,4,101,HARRIS COUNTY,941,47,215,125,0,117,721,941,570,0,-9999999,85,12
STATE,CAMPUS,2014-2015,108909113,AIDA C ESCOBAR EL,108909,PHARR-SAN JUAN-ALAMO ISD,1,108,HIDALGO COUNTY,850,52,0,458,436,6,761,850,750,0,5,50,0
STATE,CAMPUS,2014-2015,31901133,AIKEN EL,31901,BROWNSVILLE ISD,1,31,CAMERON COUNTY,808,47,0,456,454,0,771,808,585,0,-9999999,70,6
STATE,CAMPUS,2014-2015,57916135,AIKIN EL,57916,RICHARDSON ISD,10,57,DALLAS COUNTY,742,5,0,454,252,201,664,742,551,0,-9999999,71,17
STATE,CAMPUS,2014-2015,139909109,AIKIN EL,139909,PARIS ISD,8,139,LAMAR COUNTY,901,117,0,48,0,40,695,901,368,17,5,142,23
STATE,CAMPUS,2014-2015,59901101,AIKMAN EL,59901,HEREFORD ISD,16,59,DEAF SMITH COUNTY,424,5,0,91,66,22,391,424,319,-9999999,-9999999,30,10
STATE,CAMPUS,2014-2015,181907002,AIM CENTER H S,181907,VIDOR ISD,5,181,ORANGE COUNTY,52,0,0,0,0,0,32,0,45,0,0,8,-9999999
STATE,CAMPUS,2014-2015,84902007,AIM COLLEGE & CAREER PREP,84902,GALVESTON ISD,4,84,GALVESTON COUNTY,114,-9999999,32,10,0,11,87,114,99,0,0,6,-9999999
STATE,CAMPUS,2014-2015,108913110,AIRPORT ELEMENTARY,108913,WESLACO ISD,1,108,HIDALGO COUNTY,679,27,0,191,190,0,536,679,462,6,0,42,16
STATE,CAMPUS,2014-2015,95903102,AKIN EL,95903,HALE CENTER ISD,17,95,HALE COUNTY,290,0,0,34,0,34,224,290,106,0,-9999999,18,0
STATE,CAMPUS,2014-2015,227901017,AKINS H S,227901,AUSTIN ISD,13,227,TRAVIS COUNTY,2667,195,2087,322,0,298,1847,11,1555,7,-9999999,289,221
STATE,CAMPUS,2014-2015,101911101,ALAMO EL,101911,GOOSE CREEK CISD,4,101,HARRIS COUNTY,862,56,0,200,175,9,503,862,517,-9999999,-9999999,69,18
STATE,CAMPUS,2014-2015,186902102,ALAMO EL,186902,FORT STOCKTON ISD,18,186,PECOS COUNTY,538,0,0,78,77,0,346,538,297,0,0,38,-9999999
STATE,CAMPUS,2014-2015,15901001,ALAMO HEIGHTS H S,15901,ALAMO HEIGHTS ISD,20,15,BEXAR COUNTY,1549,314,553,17,0,15,219,0,284,-9999999,0,102,88
STATE,CAMPUS,2014-2015,15901041,ALAMO HEIGHTS J H,15901,ALAMO HEIGHTS ISD,20,15,BEXAR COUNTY,1122,269,0,43,14,38,263,0,420,-9999999,0,63,96
STATE,CAMPUS,2014-2015,165901041,ALAMO J H,165901,MIDLAND ISD,18,165,MIDLAND COUNTY,791,34,385,69,0,66,382,791,495,-9999999,0,70,20
STATE,CAMPUS,2014-2015,15822004,ALAMO LEADERSHIP ACADEMY,15822,JUBILEE ACADEMIC CENTER,20,15,BEXAR COUNTY,107,-9999999,0,50,0,50,97,107,63,-9999999,-9999999,-9999999,-9999999
STATE,CAMPUS,2014-2015,108909042,ALAMO MIDDLE,108909,PHARR-SAN JUAN-ALAMO ISD,1,108,HIDALGO COUNTY,730,60,0,299,0,294,663,730,490,8,0,45,-9999999
STATE,CAMPUS,2014-2015,15908042,ALAN B SHEPARD MIDDLE,15908,SOUTH SAN ANTONIO ISD,20,15,BEXAR COUNTY,638,32,98,61,0,57,575,638,440,-9999999,0,56,27
STATE,CAMPUS,2014-2015,250906101,ALBA-GOLDEN EL,250906,ALBA-GOLDEN ISD,7,250,WOOD COUNTY,445,16,0,14,0,14,237,445,150,-9999999,-9999999,28,6
STATE,CAMPUS,2014-2015,250906001,ALBA-GOLDEN H S,250906,ALBA-GOLDEN ISD,7,250,WOOD COUNTY,409,28,259,-9999999,0,-9999999,194,409,141,0,-9999999,46,20
STATE,CAMPUS,2014-2015,209901001,ALBANY JR-SR H S,209901,ALBANY ISD,14,209,SHACKELFORD COUNTY,214,13,143,-9999999,0,-9999999,66,214,73,-9999999,0,15,6
STATE,CAMPUS,2014-2015,43907118,ALBERT & IOLA LEE DAVIS MALVERN EL,43907,MCKINNEY ISD,10,43,COLLIN COUNTY,540,10,0,219,194,24,405,540,303,0,0,55,9
STATE,CAMPUS,2014-2015,116903104,ALBERT C WILLIAMS EL,116903,COMMERCE ISD,10,116,HUNT COUNTY,332,29,0,49,0,49,225,332,185,0,0,38,12
STATE,CAMPUS,2014-2015,57905163,ALBERT SIDNEY JOHNSTON EL,57905,DALLAS ISD,10,57,DALLAS COUNTY,494,46,0,168,164,0,443,494,300,-9999999,0,36,-9999999
STATE,CAMPUS,2014-2015,101903045,ALBRIGHT MIDDLE,101903,ALIEF ISD,4,101,HARRIS COUNTY,1267,101,94,125,0,120,935,1267,733,5,-9999999,76,44
STATE,CAMPUS,2014-2015,101912102,ALCOTT EL,101912,HOUSTON ISD,4,101,HARRIS COUNTY,341,11,0,53,37,6,314,341,282,0,0,33,0
STATE,CAMPUS,2014-2015,152901194,ALDERSON EL,152901,LUBBOCK ISD,17,152,LUBBOCK COUNTY,641,-9999999,0,10,0,9,613,641,221,0,7,83,7
STATE,CAMPUS,2014-2015,101902001,ALDINE H S,101902,ALDINE ISD,4,101,HARRIS COUNTY,2405,83,2177,402,0,394,1920,2405,1763,0,-9999999,150,38
STATE,CAMPUS,2014-2015,101902041,ALDINE MIDDLE,101902,ALDINE ISD,4,101,HARRIS COUNTY,974,38,469,239,0,234,756,974,674,0,-9999999,66,33
STATE,CAMPUS,2014-2015,101902081,ALDINE NINTH GRADE SCHOOL,101902,ALDINE ISD,4,101,HARRIS COUNTY,791,19,608,131,0,123,558,791,583,0,-9999999,38,23
STATE,CAMPUS,2014-2015,43910106,ALDRIDGE EL,43910,PLANO ISD,10,43,COLLIN COUNTY,508,42,0,89,0,89,95,0,174,0,0,47,8
STATE,CAMPUS,2014-2015,184907001,ALEDO H S,184907,ALEDO ISD,11,184,PARKER COUNTY,1193,104,713,13,0,13,85,7,269,5,0,69,25
STATE,CAMPUS,2014-2015,184907041,ALEDO MIDDLE,184907,ALEDO ISD,11,184,PARKER COUNTY,804,83,29,11,0,11,102,-9999999,235,34,-9999999,59,17
STATE,CAMPUS,2014-2015,57905206,ALEX SANGER EL,57905,DALLAS ISD,10,57,DALLAS COUNTY,535,93,0,283,337,0,428,535,346,0,0,31,-9999999
STATE,CAMPUS,2014-2015,57905058,ALEX W SPENCE TALENTED/GIFTED ACAD,57905,DALLAS ISD,10,57,DALLAS COUNTY,914,245,112,392,0,334,802,914,669,0,0,66,33
STATE,CAMPUS,2014-2015,101903114,ALEXANDER EL,101903,ALIEF ISD,4,101,HARRIS COUNTY,842,18,0,460,311,167,675,842,579,5,0,51,9
STATE,CAMPUS,2014-2015,20908115,ALEXANDER MIDDLE,20908,PEARLAND ISD,4,20,BRAZORIA COUNTY,691,26,0,6,0,0,161,7,168,11,-9999999,77,29
STATE,CAMPUS,2014-2015,71904104,ALFONSO BORREGO SR EL,71904,SAN ELIZARIO ISD,19,71,EL PASO COUNTY,554,24,0,337,280,0,533,554,440,-9999999,0,56,6
STATE,CAMPUS,2014-2015,108904129,ALFONSO RAMIREZ EL,108904,EDINBURG CISD,1,108,HIDALGO COUNTY,571,21,0,228,223,5,468,571,360,0,0,26,0
STATE,CAMPUS,2014-2015,108909112,ALFRED SORENSEN EL,108909,PHARR-SAN JUAN-ALAMO ISD,1,108,HIDALGO COUNTY,670,63,0,294,293,-9999999,532,670,543,-9999999,0,43,-9999999
STATE,CAMPUS,2014-2015,220905101,ALICE CARLSON APPLIED LRN CTR,220905,FORT WORTH ISD,11,220,TARRANT COUNTY,395,79,0,22,0,22,61,0,165,8,0,23,10
STATE,CAMPUS,2014-2015,220905220,ALICE D CONTRERAS,220905,FORT WORTH ISD,11,220,TARRANT COUNTY,737,39,0,507,469,5,684,737,636,0,0,39,9
STATE,CAMPUS,2014-2015,125901001,ALICE H S,125901,ALICE ISD,2,125,JIM WELLS COUNTY,1408,148,1305,41,0,37,848,1408,671,-9999999,0,115,31
STATE,CAMPUS,2014-2015,101905041,ALICE JOHNSON J H,101905,CHANNELVIEW ISD,4,101,HARRIS COUNTY,1048,27,285,221,0,210,878,1048,612,-9999999,0,98,20
STATE,CAMPUS,2014-2015,220908101,ALICE PONDER EL,220908,MANSFIELD ISD,11,220,TARRANT COUNTY,494,13,0,211,185,26,339,494,309,8,0,33,-9999999
STATE,CAMPUS,2014-2015,71905138,ALICIA R CHACON,71905,YSLETA ISD,19,71,EL PASO COUNTY,785,101,42,351,759,-9999999,585,785,454,11,0,59,5
STATE,CAMPUS,2014-2015,101903012,ALIEF EARLY COLLEGE H S,101903,ALIEF ISD,4,101,HARRIS COUNTY,435,59,121,6,0,6,349,435,125,0,0,5,-9999999
STATE,CAMPUS,2014-2015,101903047,ALIEF ISD J J A E P,101903,ALIEF ISD,4,101,HARRIS COUNTY,9,0,0,-9999999,-9999999,-9999999,6,0,9,0,0,-9999999,0
STATE,CAMPUS,2014-2015,101903005,ALIEF LEARNING CTR (6-12),101903,ALIEF ISD,4,101,HARRIS COUNTY,168,0,64,40,0,40,132,-9999999,168,0,0,20,18
STATE,CAMPUS,2014-2015,101903205,ALIEF LEARNING CTR (K-6),101903,ALIEF ISD,4,101,HARRIS COUNTY,46,-9999999,0,13,6,7,38,0,46,0,0,-9999999,-9999999
STATE,CAMPUS,2014-2015,101903041,ALIEF MIDDLE,101903,ALIEF ISD,4,101,HARRIS COUNTY,994,39,90,366,0,337,825,994,775,-9999999,0,87,46
STATE,CAMPUS,2014-2015,101815101,ALIEF MONTESSORI COMMUNITY SCHOOL,101815,ALIEF MONTESSORI COMMUNITY SCHOOL,4,101,HARRIS COUNTY,296,0,0,221,0,220,176,296,235,0,0,14,0
STATE,CAMPUS,2014-2015,10902101,ALKEK EL,10902,BANDERA ISD,20,10,BANDERA COUNTY,576,15,0,52,0,48,363,576,271,-9999999,9,71,7
STATE,CAMPUS,2014-2015,108909130,ALLEN & WILLIAM ARNOLD EL,108909,PHARR-SAN JUAN-ALAMO ISD,1,108,HIDALGO COUNTY,659,34,0,271,272,-9999999,554,659,560,7,-9999999,39,0
STATE,CAMPUS,2014-2015,15915106,ALLEN EL,15915,NORTHSIDE ISD,20,15,BEXAR COUNTY,576,29,0,174,169,0,524,565,300,-9999999,0,69,8
STATE,CAMPUS,2014-2015,43905129,ALLEN EL,43905,FRISCO ISD,10,43,COLLIN COUNTY,614,42,0,36,0,34,61,0,127,-9999999,-9999999,66,32
STATE,CAMPUS,2014-2015,178904101,ALLEN EL,178904,CORPUS CHRISTI ISD,2,178,NUECES COUNTY,385,0,0,65,64,0,369,385,247,0,0,24,7
STATE,CAMPUS,2014-2015,43901001,ALLEN H S,43901,ALLEN ISD,10,43,COLLIN COUNTY,4536,709,2706,117,0,117,623,13,1072,25,-9999999,399,163
STATE,CAMPUS,2014-2015,220902105,ALLIENE MULLENDORE EL,220902,BIRDVILLE ISD,11,220,TARRANT COUNTY,426,17,0,69,-9999999,65,273,426,205,-9999999,5,34,13
STATE,CAMPUS,2014-2015,227901101,ALLISON EL,227901,AUSTIN ISD,13,227,TRAVIS COUNTY,487,-9999999,0,207,185,18,466,487,350,0,0,41,13
STATE,CAMPUS,2014-2015,94902002,ALLISON STEELE ENHANCED LEARNING C,94902,SCHERTZ-CIBOLO-U CITY ISD,20,94,GUADALUPE COUNTY,89,-9999999,40,-9999999,0,-9999999,33,0,81,7,-9999999,14,0
STATE,CAMPUS,2014-2015,101912104,ALMEDA EL,101912,HOUSTON ISD,4,101,HARRIS COUNTY,819,160,0,372,325,-9999999,653,816,692,0,-9999999,45,8
STATE,CAMPUS,2014-2015,235902101,ALOE EL,235902,VICTORIA ISD,3,235,VICTORIA COUNTY,482,15,0,28,0,26,272,482,97,12,12,48,-9999999
STATE,CAMPUS,2014-2015,15905106,ALONSO S PERALES EL,15905,EDGEWOOD ISD,20,15,BEXAR COUNTY,574,16,0,128,126,0,552,574,449,5,-9999999,43,20
STATE,CAMPUS,2014-2015,170906012,ALPHA,170906,MAGNOLIA ISD,6,170,MONTGOMERY COUNTY,79,0,30,-9999999,0,-9999999,34,-9999999,67,0,0,5,-9999999
STATE,CAMPUS,2014-2015,15822002,ALPHA ACADEMY,15822,JUBILEE ACADEMIC CENTER,20,15,BEXAR COUNTY,222,7,0,24,0,22,185,222,139,-9999999,-9999999,24,-9999999
STATE,CAMPUS,2014-2015,57832001,ALPHA CHARTER SCHOOL,57832,ALPHA CHARTER SCHOOL,10,57,DALLAS COUNTY,157,0,15,-9999999,0,-9999999,134,156,112,0,0,14,0
