SCOPE,AGG_LEVEL,YEAR,CAMPUS NUMBER,CAMPUS NAME,DISTRICT NUMBER,DISTRICT NAME,REGION,COUNTY NUMBER,COUNTY NAME,TOTAL ENROLLMENT,TOTAL G & T STUDENTS,TOTAL CTE STUDENTS,TOTAL LEP STUDENTS,TOTAL BILINGUAL STUDENTS,TOTAL ESL STUDENTS,TOTAL ECONOMICALLY DISADVANTAGED STUDENTS,TOTAL TITLE I STUDENTS,TOTAL AT RISK STUDENTS,TOTAL MILITARY CONNECTED STUDENTS,TOTAL FOSTER CARE STUDENTS,TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES,TOTAL DYSLEXIC STUDENTS
STATE,CAMPUS,2015-2016,101920016,ACADEMY OF CHOICE,101920,SPRING BRANCH ISD,4,101,HARRIS COUNTY,153,-9999999,61,30,0,26,89,5,129,-9999999,0,-9999999,-9999999
STATE,CAMPUS,2015-2016,15910008,ACADEMY OF CREATIVE ED,15910,NORTH EAST ISD,20,15,BEXAR COUNTY,140,0,37,-9999999,0,-9999999,56,12,132,8,0,-9999999,5
STATE,CAMPUS,2015-2016,57810101,ACADEMY OF DALLAS,57810,ACADEMY OF DALLAS,10,57,DALLAS COUNTY,604,0,0,79,0,73,589,604,508,0,0,60,-9999999
STATE,CAMPUS,2015-2016,101849101,ACCELERATED INTERDISCIPLINARY ACAD,101849,ACCELERATED INTERMEDIATE ACADEMY,4,101,HARRIS COUNTY,281,0,0,110,0,109,272,281,157,0,0,19,0
STATE,CAMPUS,2015-2016,178801101,ACCELERATED LEARNING CENTER,178801,DR M L GARZA-GONZALEZ CHARTER SCHO,2,178,NUECES COUNTY,69,0,0,23,0,23,67,69,55,0,0,0,0
STATE,CAMPUS,2015-2016,43914004,ACHIEVE ACADEMY,43914,WYLIE ISD,10,43,COLLIN COUNTY,141,0,15,11,0,11,47,0,139,0,-9999999,17,11
STATE,CAMPUS,2015-2016,108906011,ACHIEVE EARLY COLLEGE H S,108906,MCALLEN ISD,1,108,HIDALGO COUNTY,428,79,266,25,0,25,326,428,156,0,0,6,-9999999
STATE,CAMPUS,2015-2016,57914132,ACHZIGER EL,57914,MESQUITE ISD,10,57,DALLAS COUNTY,917,27,0,542,506,28,695,917,654,0,-9999999,99,12
STATE,CAMPUS,2015-2016,111901102,ACTON EL,111901,GRANBURY ISD,11,111,HOOD COUNTY,815,72,0,35,0,32,344,815,230,12,0,70,45
STATE,CAMPUS,2015-2016,111901042,ACTON MIDDLE,111901,GRANBURY ISD,11,111,HOOD COUNTY,798,107,119,35,0,35,289,241,367,11,-9999999,73,43
STATE,CAMPUS,2015-2016,126903107,AD WHEAT MIDDLE,126903,CLEBURNE ISD,11,126,JOHNSON COUNTY,680,88,244,142,0,142,527,680,397,5,0,61,61
STATE,CAMPUS,2015-2016,246913102,ADA MAE FAUBION EL,246913,LEANDER ISD,13,246,WILLIAMSON COUNTY,524,80,0,25,0,25,163,31,152,-9999999,0,64,18
STATE,CAMPUS,2015-2016,101907107,ADAM ELEMENTARY,101907,CYPRESS-FAIRBANKS ISD,4,101,HARRIS COUNTY,840,41,0,170,83,79,393,-9999999,413,12,0,63,-9999999
STATE,CAMPUS,2015-2016,126903101,ADAMS EL,126903,CLEBURNE ISD,11,126,JOHNSON COUNTY,435,27,0,55,0,54,320,435,184,11,0,44,28
STATE,CAMPUS,2015-2016,220901161,ADAMS EL,220901,ARLINGTON ISD,11,220,TARRANT COUNTY,881,11,0,386,164,221,778,881,706,-9999999,-9999999,62,-9999999
STATE,CAMPUS,2015-2016,15915123,ADAMS HILL EL,15915,NORTHSIDE ISD,20,15,BEXAR COUNTY,567,27,0,21,-9999999,7,479,559,282,11,-9999999,56,6
STATE,CAMPUS,2015-2016,125901043,ADAMS MIDDLE,125901,ALICE ISD,2,125,JIM WELLS COUNTY,713,41,156,24,0,22,490,713,341,0,-9999999,65,48
STATE,CAMPUS,2015-2016,57905247,ADELFA BOTELLO CALLEJO EL,57905,DALLAS ISD,10,57,DALLAS COUNTY,713,54,0,403,365,0,672,713,511,0,0,46,11
STATE,CAMPUS,2015-2016,57905219,ADELLE TURNER EL,57905,DALLAS ISD,10,57,DALLAS COUNTY,357,42,0,16,-9999999,8,294,357,119,0,-9999999,21,-9999999
STATE,CAMPUS,2015-2016,178904057,ADKINS MIDDLE,178904,CORPUS CHRISTI ISD,2,178,NUECES COUNTY,489,0,68,-9999999,0,-9999999,252,8,216,16,-9999999,49,28
STATE,CAMPUS,2015-2016,101903199,ADMIN SERVICES,101903,ALIEF ISD,4,101,HARRIS COUNTY,48,0,0,-9999999,0,-9999999,16,-9999999,28,0,0,38,9
STATE,CAMPUS,2015-2016,180903001,ADRIAN SCHOOL,180903,ADRIAN ISD,16,180,OLDHAM COUNTY,129,6,51,11,0,11,89,129,65,0,-9999999,16,11
STATE,CAMPUS,2015-2016,227909005,ADULT TRANSITION SERVICES,227909,EANES ISD,13,227,TRAVIS COUNTY,26,0,-9999999,0,0,0,0,0,8,0,0,26,0
STATE,CAMPUS,2015-2016,101912462,ADVANCED VIRTUAL ACADEMY,101912,HOUSTON ISD,4,101,HARRIS COUNTY,308,10,63,48,0,43,167,308,280,0,0,17,-9999999
STATE,CAMPUS,2015-2016,57806101,ADVANTAGE ACADEMY,57806,ADVANTAGE ACADEMY,10,57,DALLAS COUNTY,1833,28,266,475,35,418,1386,1833,1309,-9999999,12,111,32
STATE,CAMPUS,2015-2016,15907117,AGNES COTTON EL,15907,SAN ANTONIO ISD,20,15,BEXAR COUNTY,435,6,0,145,135,0,410,435,298,-9999999,-9999999,60,7
STATE,CAMPUS,2015-2016,57914041,AGNEW MIDDLE,57914,MESQUITE ISD,10,57,DALLAS COUNTY,731,57,162,83,0,76,546,-9999999,263,0,0,61,58
STATE,CAMPUS,2015-2016,178901101,AGUA DULCE ELEMENTARY SCHOOL,178901,AGUA DULCE ISD,2,178,NUECES COUNTY,163,0,0,-9999999,0,-9999999,124,163,114,0,0,8,0
STATE,CAMPUS,2015-2016,178901001,AGUA DULCE H S,178901,AGUA DULCE ISD,2,178,NUECES COUNTY,217,8,123,-9999999,0,-9999999,134,212,134,0,0,21,0
STATE,CAMPUS,2015-2016,101905043,AGUIRRE J H,101905,CHANNELVIEW ISD,4,101,HARRIS COUNTY,987,57,459,182,0,146,771,987,542,0,-9999999,109,14
STATE,CAMPUS,2015-2016,108909113,AIDA C ESCOBAR EL,108909,PHARR-SAN JUAN-ALAMO ISD,1,108,HIDALGO COUNTY,864,39,0,453,423,5,793,864,755,-9999999,-9999999,46,-9999999
STATE,CAMPUS,2015-2016,31901133,AIKEN EL,31901,BROWNSVILLE ISD,1,31,CAMERON COUNTY,816,50,0,443,439,-9999999,785,814,602,-9999999,0,68,-9999999
STATE,CAMPUS,2015-2016,57916135,AIKIN EL,57916,RICHARDSON ISD,10,57,DALLAS COUNTY,750,5,0,475,267,205,642,750,592,-9999999,0,67,18
STATE,CAMPUS,2015-2016,139909109,AIKIN EL,139909,PARIS ISD,8,139,LAMAR COUNTY,946,120,0,60,0,54,724,946,344,15,5,133,21
STATE,CAMPUS,2015-2016,59901101,AIKMAN EL,59901,HEREFORD ISD,16,59,DEAF SMITH COUNTY,422,5,0,93,56,33,376,422,277,-9999999,6,28,9
STATE,CAMPUS,2015-2016,181907002,AIM CENTER H S,181907,VIDOR ISD,5,181,ORANGE COUNTY,63,0,0,-9999999,0,-9999999,44,0,57,0,0,10,-9999999
STATE,CAMPUS,2015-2016,84902007,AIM COLLEGE & CAREER PREP,84902,GALVESTON ISD,4,84,GALVESTON COUNTY,91,0,16,6,0,6,66,91,80,0,0,8,-9999999
STATE,CAMPUS,2015-2016,108913110,AIRPORT ELEMENTARY,108913,WESLACO ISD,1,108,HIDALGO COUNTY,669,22,0,188,186,0,551,669,448,5,0,46,12
STATE,CAMPUS,2015-2016,95903102,AKIN EL,95903,HALE CENTER ISD,17,95,HALE COUNTY,257,0,0,30,0,30,195,257,141,0,-9999999,18,-9999999
STATE,CAMPUS,2015-2016,227901017,AKINS H S,227901,AUSTIN ISD,13,227,TRAVIS COUNTY,2713,193,2193,324,0,312,1798,43,1712,-9999999,0,306,241
STATE,CAMPUS,2015-2016,101911101,ALAMO EL,101911,GOOSE CREEK CISD,4,101,HARRIS COUNTY,806,62,0,235,207,18,573,806,424,-9999999,6,73,11
STATE,CAMPUS,2015-2016,186902102,ALAMO EL,186902,FORT STOCKTON ISD,18,186,PECOS COUNTY,542,-9999999,0,77,36,38,370,542,299,0,0,43,6
STATE,CAMPUS,2015-2016,15901001,ALAMO HEIGHTS H S,15901,ALAMO HEIGHTS ISD,20,15,BEXAR COUNTY,1553,315,575,21,0,19,248,0,299,27,0,87,84
STATE,CAMPUS,2015-2016,15901041,ALAMO HEIGHTS J H,15901,ALAMO HEIGHTS ISD,20,15,BEXAR COUNTY,1157,253,0,60,0,55,247,0,406,-9999999,0,80,81
STATE,CAMPUS,2015-2016,165901041,ALAMO J H,165901,MIDLAND ISD,18,165,MIDLAND COUNTY,732,30,358,56,0,54,376,732,473,7,0,54,41
STATE,CAMPUS,2015-2016,15822004,ALAMO LEADERSHIP ACADEMY,15822,JUBILEE ACADEMIC CENTER,20,15,BEXAR COUNTY,119,-9999999,0,63,0,62,107,119,93,-9999999,0,-9999999,-9999999
STATE,CAMPUS,2015-2016,108909042,ALAMO MIDDLE,108909,PHARR-SAN JUAN-ALAMO ISD,1,108,HIDALGO COUNTY,700,61,128,286,0,282,655,700,501,-9999999,-9999999,45,-9999999
STATE,CAMPUS,2015-2016,15908042,ALAN B SHEPARD MIDDLE,15908,SOUTH SAN ANTONIO ISD,20,15,BEXAR COUNTY,590,40,190,57,0,54,522,590,376,-9999999,0,44,23
STATE,CAMPUS,2015-2016,250906101,ALBA-GOLDEN EL,250906,ALBA-GOLDEN ISD,7,250,WOOD COUNTY,455,15,0,10,0,10,248,455,207,-9999999,0,39,8
STATE,CAMPUS,2015-2016,250906001,ALBA-GOLDEN H S,250906,ALBA-GOLDEN ISD,7,250,WOOD COUNTY,424,31,320,-9999999,0,-9999999,204,423,171,-9999999,-9999999,48,26
STATE,CAMPUS,2015-2016,209901001,ALBANY JR-SR H S,209901,ALBANY ISD,14,209,SHACKELFORD COUNTY,223,13,146,-9999999,0,-9999999,71,223,52,-9999999,-9999999,17,6
STATE,CAMPUS,2015-2016,43907118,ALBERT & IOLA LEE DAVIS MALVERN EL,43907,MCKINNEY ISD,10,43,COLLIN COUNTY,497,9,0,193,173,18,353,497,268,0,-9999999,50,14
STATE,CAMPUS,2015-2016,116903104,ALBERT C WILLIAMS EL,116903,COMMERCE ISD,10,116,HUNT COUNTY,354,29,0,40,0,40,225,354,199,-9999999,0,36,16
STATE,CAMPUS,2015-2016,57905163,ALBERT SIDNEY JOHNSTON EL,57905,DALLAS ISD,10,57,DALLAS COUNTY,482,46,0,147,142,0,423,482,250,0,-9999999,39,6
STATE,CAMPUS,2015-2016,101903045,ALBRIGHT MIDDLE,101903,ALIEF ISD,4,101,HARRIS COUNTY,1201,94,78,131,0,126,874,1201,720,5,-9999999,67,39
STATE,CAMPUS,2015-2016,101912102,ALCOTT EL,101912,HOUSTON ISD,4,101,HARRIS COUNTY,332,9,0,66,39,19,320,332,211,0,-9999999,29,-9999999
STATE,CAMPUS,2015-2016,152901194,ALDERSON EL,152901,LUBBOCK ISD,17,152,LUBBOCK COUNTY,653,5,0,7,0,5,577,653,398,0,-9999999,84,-9999999
STATE,CAMPUS,2015-2016,101902001,ALDINE H S,101902,ALDINE ISD,4,101,HARRIS COUNTY,2494,68,2214,508,0,489,2038,2494,1835,0,-9999999,148,52
STATE,CAMPUS,2015-2016,101902041,ALDINE MIDDLE,101902,ALDINE ISD,4,101,HARRIS COUNTY,939,40,407,214,0,209,869,939,662,-9999999,-9999999,68,36
STATE,CAMPUS,2015-2016,101902081,ALDINE NINTH GRADE SCHOOL,101902,ALDINE ISD,4,101,HARRIS COUNTY,856,21,700,207,0,202,762,856,649,0,-9999999,39,25
STATE,CAMPUS,2015-2016,43910106,ALDRIDGE EL,43910,PLANO ISD,10,43,COLLIN COUNTY,574,61,0,108,0,107,101,0,191,0,0,56,11
STATE,CAMPUS,2015-2016,184907001,ALEDO H S,184907,ALEDO ISD,11,184,PARKER COUNTY,1168,94,767,16,0,16,101,7,200,90,0,64,28
STATE,CAMPUS,2015-2016,184907041,ALEDO MIDDLE,184907,ALEDO ISD,11,184,PARKER COUNTY,851,67,146,7,0,7,100,0,235,29,0,55,36
STATE,CAMPUS,2015-2016,57905206,ALEX SANGER EL,57905,DALLAS ISD,10,57,DALLAS COUNTY,521,90,0,270,341,0,436,521,305,0,0,27,9
STATE,CAMPUS,2015-2016,57905355,ALEX SANGER PREPARATORY MIDDLE,57905,DALLAS ISD,10,57,DALLAS COUNTY,60,13,0,36,31,6,55,0,48,0,0,6,-9999999
STATE,CAMPUS,2015-2016,57905058,ALEX W SPENCE TALENTED/GIFTED ACAD,57905,DALLAS ISD,10,57,DALLAS COUNTY,832,252,0,364,0,331,758,832,593,0,0,63,27
STATE,CAMPUS,2015-2016,101903114,ALEXANDER EL,101903,ALIEF ISD,4,101,HARRIS COUNTY,805,23,0,432,288,168,679,805,503,9,-9999999,47,-9999999
STATE,CAMPUS,2015-2016,20908115,ALEXANDER MIDDLE,20908,PEARLAND ISD,4,20,BRAZORIA COUNTY,615,17,0,8,0,0,141,8,161,8,-9999999,72,31
STATE,CAMPUS,2015-2016,71904104,ALFONSO BORREGO SR EL,71904,SAN ELIZARIO ISD,19,71,EL PASO COUNTY,526,26,0,336,278,0,461,526,412,-9999999,0,58,5
STATE,CAMPUS,2015-2016,108904129,ALFONSO RAMIREZ EL,108904,EDINBURG CISD,1,108,HIDALGO COUNTY,546,38,0,208,204,-9999999,434,546,312,0,0,31,-9999999
STATE,CAMPUS,2015-2016,108909112,ALFRED SORENSEN EL,108909,PHARR-SAN JUAN-ALAMO ISD,1,108,HIDALGO COUNTY,688,53,0,289,282,0,547,688,542,5,-9999999,34,-9999999
STATE,CAMPUS,2015-2016,220905101,ALICE CARLSON APPLIED LRN CTR,220905,FORT WORTH ISD,11,220,TARRANT COUNTY,392,85,0,16,0,15,63,0,175,-9999999,0,26,6
STATE,CAMPUS,2015-2016,220905220,ALICE D CONTRERAS,220905,FORT WORTH ISD,11,220,TARRANT COUNTY,736,35,0,471,465,-9999999,640,736,641,6,0,36,16
STATE,CAMPUS,2015-2016,125901001,ALICE H S,125901,ALICE ISD,2,125,JIM WELLS COUNTY,1360,147,1315,45,0,42,836,1360,804,7,-9999999,111,38
STATE,CAMPUS,2015-2016,101905041,ALICE JOHNSON J H,101905,CHANNELVIEW ISD,4,101,HARRIS COUNTY,1094,34,459,269,0,255,924,1089,616,0,0,112,22
STATE,CAMPUS,2015-2016,220908101,ALICE PONDER EL,220908,MANSFIELD ISD,11,220,TARRANT COUNTY,545,16,0,223,197,26,361,545,303,7,5,36,6
STATE,CAMPUS,2015-2016,71905138,ALICIA R CHACON,71905,YSLETA ISD,19,71,EL PASO COUNTY,778,104,40,358,701,0,559,778,489,10,0,66,5
STATE,CAMPUS,2015-2016,101903012,ALIEF EARLY COLLEGE H S,101903,ALIEF ISD,4,101,HARRIS COUNTY,432,57,182,7,0,7,336,432,140,-9999999,0,-9999999,-9999999
STATE,CAMPUS,2015-2016,101903047,ALIEF ISD J J A E P,101903,ALIEF ISD,4,101,HARRIS COUNTY,8,0,0,-9999999,0,-9999999,6,0,8,0,0,-9999999,0
STATE,CAMPUS,2015-2016,101903005,ALIEF LEARNING CTR (6-12),101903,ALIEF ISD,4,101,HARRIS COUNTY,162,-9999999,73,36,0,34,138,5,162,0,0,17,15
STATE,CAMPUS,2015-2016,101903205,ALIEF LEARNING CTR (K-6),101903,ALIEF ISD,4,101,HARRIS COUNTY,49,-9999999,0,24,13,11,44,0,49,0,0,-9999999,-9999999
STATE,CAMPUS,2015-2016,101903041,ALIEF MIDDLE,101903,ALIEF ISD,4,101,HARRIS COUNTY,967,44,157,377,0,354,793,967,783,-9999999,0,72,42
STATE,CAMPUS,2015-2016,101815101,ALIEF MONTESSORI COMMUNITY SCHOOL,101815,ALIEF MONTESSORI COMMUNITY SCHOOL,4,101,HARRIS COUNTY,294,0,0,193,0,193,176,294,209,0,0,15,0
STATE,CAMPUS,2015-2016,10902101,ALKEK EL,10902,BANDERA ISD,20,10,BANDERA COUNTY,550,15,0,51,0,46,339,550,256,9,11,62,9
STATE,CAMPUS,2015-2016,108909130,ALLEN & WILLIAM ARNOLD EL,108909,PHARR-SAN JUAN-ALAMO ISD,1,108,HIDALGO COUNTY,654,21,0,272,268,0,542,654,537,12,5,45,0
STATE,CAMPUS,2015-2016,15915106,ALLEN EL,15915,NORTHSIDE ISD,20,15,BEXAR COUNTY,598,32,0,167,163,0,538,592,338,-9999999,-9999999,80,9
STATE,CAMPUS,2015-2016,43905129,ALLEN EL,43905,FRISCO ISD,10,43,COLLIN COUNTY,591,39,0,37,0,36,56,0,37,6,0,56,30
STATE,CAMPUS,2015-2016,178904101,ALLEN EL,178904,CORPUS CHRISTI ISD,2,178,NUECES COUNTY,357,0,0,65,64,0,324,357,254,-9999999,0,21,11
STATE,CAMPUS,2015-2016,43901001,ALLEN H S,43901,ALLEN ISD,10,43,COLLIN COUNTY,4746,694,2813,106,0,105,646,12,1840,30,-9999999,444,182
STATE,CAMPUS,2015-2016,220902105,ALLIENE MULLENDORE EL,220902,BIRDVILLE ISD,11,220,TARRANT COUNTY,426,16,0,83,5,77,260,426,221,15,-9999999,34,22
STATE,CAMPUS,2015-2016,227901101,ALLISON EL,227901,AUSTIN ISD,13,227,TRAVIS COUNTY,545,10,0,249,227,19,521,545,412,0,0,53,19
STATE,CAMPUS,2015-2016,94902002,ALLISON STEELE ENHANCED LEARNING C,94902,SCHERTZ-CIBOLO-U CITY ISD,20,94,GUADALUPE COUNTY,98,-9999999,62,-9999999,0,-9999999,32,0,96,6,0,13,0
STATE,CAMPUS,2015-2016,101912104,ALMEDA EL,101912,HOUSTON ISD,4,101,HARRIS COUNTY,849,152,0,393,343,-9999999,721,846,600,0,0,54,5
STATE,CAMPUS,2015-2016,235902101,ALOE EL,235902,VICTORIA ISD,3,235,VICTORIA COUNTY,514,16,0,30,0,29,299,514,134,19,9,56,6
STATE,CAMPUS,2015-2016,15905106,ALONSO S PERALES EL,15905,EDGEWOOD ISD,20,15,BEXAR COUNTY,527,14,0,108,108,0,513,527,426,5,0,31,21
STATE,CAMPUS,2015-2016,170906012,ALPHA,170906,MAGNOLIA ISD,6,170,MONTGOMERY COUNTY,88,-9999999,49,-9999999,0,-9999999,38,-9999999,70,0,0,5,-9999999
STATE,CAMPUS,2015-2016,57832001,ALPHA CHARTER SCHOOL,57832,ALPHA CHARTER SCHOOL,10,57,DALLAS COUNTY,132,0,20,5,-9999999,-9999999,121,131,82,-9999999,0,24,0
