SCOPE,AGG_LEVEL,YEAR,CAMPUS NUMBER,CAMPUS NAME,GRADE GROUP,DISTRICT NUMBER,DISTRICT NAME,REGION,COUNTY NUMBER,COUNTY NAME,TOTAL ENROLLMENT,TOTAL G & T STUDENTS,TOTAL CTE STUDENTS,TOTAL LEP STUDENTS,TOTAL BILINGUAL STUDENTS,TOTAL ESL STUDENTS,TOTAL ECONOMICALLY DISADVANTAGED STUDENTS,TOTAL TITLE I STUDENTS,TOTAL AT RISK STUDENTS,TOTAL MILITARY CONNECTED STUDENTS,TOTAL FOSTER CARE STUDENTS,TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES,SUM_HOMELESS,TOTAL DYSLEXIC STUDENTS
STATE,CAMPUS,2017-2018,126905103,A G ELDER EL,ELEMENTARY,126905,JOSHUA ISD,11,126,JOHNSON COUNTY,527,10,0,127,98,29,342,527,285,6,-9999999,62,0,22
STATE,CAMPUS,2017-2018,15904042,A LEAL JR MIDDLE,MIDDLE SCHOOL,15904,HARLANDALE ISD,20,15,BEXAR COUNTY,822,52,382,208,133,99,750,820,637,-9999999,0,82,11,60
STATE,CAMPUS,2017-2018,108902104,A M OCHOA EL,ELEMENTARY,108902,DONNA ISD,1,108,HIDALGO COUNTY,439,22,0,197,206,0,384,439,300,0,0,40,-9999999,-9999999
STATE,CAMPUS,2017-2018,220905153,A M PATE EL,ELEMENTARY,220905,FORT WORTH ISD,11,220,TARRANT COUNTY,522,32,0,134,39,111,478,522,363,0,0,26,5,7
STATE,CAMPUS,2017-2018,57905003,A MACEO SMITH NEW TECH H S,HIGH SCHOOL,57905,DALLAS ISD,10,57,DALLAS COUNTY,363,75,363,92,0,78,326,363,183,-9999999,0,18,0,6
STATE,CAMPUS,2017-2018,108913113,A N RICO EL,ELEMENTARY,108913,WESLACO ISD,1,108,HIDALGO COUNTY,819,34,0,366,356,0,707,819,612,-9999999,0,57,12,14
STATE,CAMPUS,2017-2018,20905102,A P BEUTEL EL,ELEMENTARY,20905,BRAZOSPORT ISD,4,20,BRAZORIA COUNTY,620,51,0,49,0,47,220,620,347,6,0,61,33,20
STATE,CAMPUS,2017-2018,108902045,A P SOLIS MIDDLE,MIDDLE SCHOOL,108902,DONNA ISD,1,108,HIDALGO COUNTY,842,123,119,417,0,413,738,842,644,0,0,110,51,-9999999
STATE,CAMPUS,2017-2018,220917101,A V CATO EL,ELEMENTARY,220917,CASTLEBERRY ISD,11,220,TARRANT COUNTY,721,37,0,315,252,62,627,721,549,-9999999,-9999999,50,7,10
STATE,CAMPUS,2017-2018,57816102,A W BROWN - F L A EARLY CHILDHOOD,ELEMENTARY,57816,A W BROWN LEADERSHIP ACADEMY,10,57,DALLAS COUNTY,1160,0,0,8,0,8,1070,1160,163,0,-9999999,27,7,0
STATE,CAMPUS,2017-2018,57829001,A+ ACADEMY EL,ELEMENTARY / SECONDARY,57829,A+ ACADEMY,10,57,DALLAS COUNTY,794,13,0,500,325,169,677,794,561,-9999999,0,48,6,14
STATE,CAMPUS,2017-2018,57829002,A+ SECONDARY SCHOOL,HIGH SCHOOL,57829,A+ ACADEMY,10,57,DALLAS COUNTY,554,24,384,146,0,145,446,554,209,0,0,62,0,12
STATE,CAMPUS,2017-2018,101871041,A+ UNLIMITED POTENTIAL,MIDDLE SCHOOL,101871,A+ UNLIMITED POTENTIAL,4,101,HARRIS COUNTY,67,-9999999,0,5,0,-9999999,19,0,13,0,0,7,0,-9999999
STATE,CAMPUS,2017-2018,101871102,A+UP UNIVERSITY,MIDDLE SCHOOL,101871,A+ UNLIMITED POTENTIAL,4,101,HARRIS COUNTY,88,0,0,-9999999,0,-9999999,53,0,14,0,0,10,0,-9999999
STATE,CAMPUS,2017-2018,139911102,AARON PARKER EL,ELEMENTARY,139911,NORTH LAMAR ISD,8,139,LAMAR COUNTY,234,17,0,-9999999,0,-9999999,152,234,128,-9999999,0,30,-9999999,8
STATE,CAMPUS,2017-2018,43914042,AB HARRISON INT,MIDDLE SCHOOL,43914,WYLIE ISD,10,43,COLLIN COUNTY,701,85,0,45,0,44,171,0,186,18,-9999999,91,-9999999,51
STATE,CAMPUS,2017-2018,57909143,ABBETT EL,ELEMENTARY,57909,GARLAND ISD,10,57,DALLAS COUNTY,749,18,0,192,106,79,323,749,262,-9999999,0,59,0,33
STATE,CAMPUS,2017-2018,109901001,ABBOTT SCHOOL,ELEMENTARY / SECONDARY,109901,ABBOTT ISD,12,109,HILL COUNTY,290,-9999999,134,5,0,5,69,289,83,0,0,33,-9999999,6
STATE,CAMPUS,2017-2018,165901047,ABELL J H,JUNIOR HIGH SCHOOL,165901,MIDLAND ISD,18,165,MIDLAND COUNTY,1036,93,368,120,0,110,432,-9999999,607,10,-9999999,62,-9999999,56
STATE,CAMPUS,2017-2018,95901003,ABERNATHY DAEP,ELEMENTARY / SECONDARY,95901,ABERNATHY ISD,17,95,HALE COUNTY,-9999999,0,-9999999,0,0,0,-9999999,0,-9999999,0,0,-9999999,0,0
STATE,CAMPUS,2017-2018,95901101,ABERNATHY EL,ELEMENTARY,95901,ABERNATHY ISD,17,95,HALE COUNTY,354,38,0,-9999999,0,-9999999,211,354,162,0,-9999999,27,-9999999,17
STATE,CAMPUS,2017-2018,95901001,ABERNATHY H S,HIGH SCHOOL,95901,ABERNATHY ISD,17,95,HALE COUNTY,228,22,219,-9999999,0,-9999999,110,228,75,-9999999,0,18,-9999999,10
STATE,CAMPUS,2017-2018,95901041,ABERNATHY MIDDLE,MIDDLE SCHOOL,95901,ABERNATHY ISD,17,95,HALE COUNTY,183,26,0,-9999999,0,-9999999,90,183,92,-9999999,0,15,-9999999,17
STATE,CAMPUS,2017-2018,221901001,ABILENE H S,HIGH SCHOOL,221901,ABILENE ISD,14,221,TAYLOR COUNTY,2137,124,1491,111,0,107,1482,45,1359,7,8,253,136,32
STATE,CAMPUS,2017-2018,71902171,ABOUT FACE PROGRAM EL,ELEMENTARY,71902,EL PASO ISD,19,71,EL PASO COUNTY,10,-9999999,0,-9999999,-9999999,0,8,10,10,0,0,-9999999,-9999999,-9999999
STATE,CAMPUS,2017-2018,220902116,ACADEMY AT CARRIE F THOMAS,ELEMENTARY,220902,BIRDVILLE ISD,11,220,TARRANT COUNTY,627,20,0,279,188,109,475,627,372,5,0,54,8,40
STATE,CAMPUS,2017-2018,14901102,ACADEMY EL,ELEMENTARY,14901,ACADEMY ISD,12,14,BELL COUNTY,386,8,0,25,0,24,163,386,166,18,-9999999,30,8,-9999999
STATE,CAMPUS,2017-2018,221901010,ACADEMY FOR TECHNOLOGY ENGINEERING,HIGH SCHOOL,221901,ABILENE ISD,14,221,TAYLOR COUNTY,357,41,357,5,0,5,185,-9999999,145,18,0,9,6,-9999999
STATE,CAMPUS,2017-2018,14901001,ACADEMY H S,HIGH SCHOOL,14901,ACADEMY ISD,12,14,BELL COUNTY,453,41,397,-9999999,0,-9999999,146,453,129,8,-9999999,49,6,16
STATE,CAMPUS,2017-2018,14901101,ACADEMY INT,ELEMENTARY,14901,ACADEMY ISD,12,14,BELL COUNTY,376,39,0,23,0,22,165,376,97,14,-9999999,23,0,9
STATE,CAMPUS,2017-2018,14901041,ACADEMY J H,MIDDLE SCHOOL,14901,ACADEMY ISD,12,14,BELL COUNTY,344,34,0,18,0,18,137,344,116,10,-9999999,25,-9999999,11
STATE,CAMPUS,2017-2018,101810002,ACADEMY OF ACCELERATED LEARNING,ELEMENTARY,101810,ACADEMY OF ACCELERATED LEARNING IN,4,101,HARRIS COUNTY,715,0,0,432,194,238,702,715,455,0,0,7,45,0
STATE,CAMPUS,2017-2018,101920016,ACADEMY OF CHOICE,ELEMENTARY / SECONDARY,101920,SPRING BRANCH ISD,4,101,HARRIS COUNTY,187,15,60,36,0,36,125,-9999999,145,-9999999,0,11,8,10
STATE,CAMPUS,2017-2018,15910008,ACADEMY OF CREATIVE ED,HIGH SCHOOL,15910,NORTH EAST ISD,20,15,BEXAR COUNTY,124,0,29,0,0,0,56,9,115,5,0,-9999999,9,-9999999
STATE,CAMPUS,2017-2018,57810101,ACADEMY OF DALLAS,ELEMENTARY,57810,ACADEMY OF DALLAS,10,57,DALLAS COUNTY,432,0,0,65,0,67,421,432,331,0,0,41,0,-9999999
STATE,CAMPUS,2017-2018,101849101,ACCELERATED INTERDISCIPLINARY ACAD,ELEMENTARY,101849,ACCELERATED INTERMEDIATE ACADEMY,4,101,HARRIS COUNTY,259,0,0,84,0,84,248,259,128,0,-9999999,7,0,0
STATE,CAMPUS,2017-2018,43914004,ACHIEVE ACADEMY,ELEMENTARY / SECONDARY,43914,WYLIE ISD,10,43,COLLIN COUNTY,135,0,70,8,0,8,45,135,118,0,0,19,6,12
STATE,CAMPUS,2017-2018,108906011,ACHIEVE EARLY COLLEGE H S,HIGH SCHOOL,108906,MCALLEN ISD,1,108,HIDALGO COUNTY,491,78,274,35,0,35,359,491,155,0,0,5,-9999999,6
STATE,CAMPUS,2017-2018,57914132,ACHZIGER EL,ELEMENTARY,57914,MESQUITE ISD,10,57,DALLAS COUNTY,971,28,0,509,477,28,692,971,708,0,-9999999,117,7,65
STATE,CAMPUS,2017-2018,111901102,ACTON EL,ELEMENTARY,111901,GRANBURY ISD,11,111,HOOD COUNTY,854,59,0,40,0,37,374,854,327,15,5,69,27,57
STATE,CAMPUS,2017-2018,111901042,ACTON MIDDLE,MIDDLE SCHOOL,111901,GRANBURY ISD,11,111,HOOD COUNTY,846,102,117,39,0,39,295,207,327,16,0,87,12,68
STATE,CAMPUS,2017-2018,126903107,AD WHEAT MIDDLE,MIDDLE SCHOOL,126903,CLEBURNE ISD,11,126,JOHNSON COUNTY,687,66,206,159,0,159,495,687,480,9,-9999999,65,30,70
STATE,CAMPUS,2017-2018,246913102,ADA MAE FAUBION EL,ELEMENTARY,246913,LEANDER ISD,13,246,WILLIAMSON COUNTY,480,67,0,38,0,38,177,30,239,7,10,49,-9999999,14
STATE,CAMPUS,2017-2018,101907107,ADAM EL,ELEMENTARY,101907,CYPRESS-FAIRBANKS ISD,4,101,HARRIS COUNTY,843,31,0,178,92,82,452,843,411,11,-9999999,65,9,5
STATE,CAMPUS,2017-2018,126903101,ADAMS EL,ELEMENTARY,126903,CLEBURNE ISD,11,126,JOHNSON COUNTY,408,14,0,60,0,60,288,408,209,7,-9999999,35,14,24
STATE,CAMPUS,2017-2018,220901161,ADAMS EL,ELEMENTARY,220901,ARLINGTON ISD,11,220,TARRANT COUNTY,817,66,0,374,168,203,680,817,614,13,-9999999,31,17,-9999999
STATE,CAMPUS,2017-2018,15915123,ADAMS HILL EL,ELEMENTARY,15915,NORTHSIDE ISD,20,15,BEXAR COUNTY,515,29,0,24,0,9,406,515,241,17,-9999999,66,-9999999,8
STATE,CAMPUS,2017-2018,125901043,ADAMS MIDDLE,JUNIOR HIGH SCHOOL,125901,ALICE ISD,2,125,JIM WELLS COUNTY,731,19,173,20,0,19,610,730,458,-9999999,-9999999,63,27,33
STATE,CAMPUS,2017-2018,57905247,ADELFA BOTELLO CALLEJO EL,ELEMENTARY,57905,DALLAS ISD,10,57,DALLAS COUNTY,663,58,0,396,348,0,633,663,458,-9999999,8,65,-9999999,11
STATE,CAMPUS,2017-2018,57905219,ADELLE TURNER EL,ELEMENTARY,57905,DALLAS ISD,10,57,DALLAS COUNTY,292,42,0,11,6,-9999999,245,292,69,0,-9999999,28,6,7
STATE,CAMPUS,2017-2018,178904057,ADKINS MIDDLE,MIDDLE SCHOOL,178904,CORPUS CHRISTI ISD,2,178,NUECES COUNTY,678,0,0,18,0,16,437,678,297,22,-9999999,53,17,30
STATE,CAMPUS,2017-2018,101903199,ADMIN SERVICES,ELEMENTARY / SECONDARY,101903,ALIEF ISD,4,101,HARRIS COUNTY,72,0,0,-9999999,0,-9999999,28,-9999999,33,0,0,56,-9999999,5
STATE,CAMPUS,2017-2018,180903001,ADRIAN SCHOOL,ELEMENTARY / SECONDARY,180903,ADRIAN ISD,16,180,OLDHAM COUNTY,120,8,73,-9999999,0,-9999999,70,120,49,0,0,12,-9999999,10
STATE,CAMPUS,2017-2018,227909005,ADULT TRANSITION SERVICES,HIGH SCHOOL,227909,EANES ISD,13,227,TRAVIS COUNTY,18,0,0,0,0,0,0,0,-9999999,-9999999,0,18,0,0
STATE,CAMPUS,2017-2018,15907026,ADVANCED LEARNING ACADEMY,ELEMENTARY / SECONDARY,15907,SAN ANTONIO ISD,20,15,BEXAR COUNTY,716,193,15,41,5,36,372,716,283,17,-9999999,26,-9999999,16
STATE,CAMPUS,2017-2018,57806101,ADVANTAGE ACADEMY,ELEMENTARY / SECONDARY,57806,ADVANTAGE ACADEMY,10,57,DALLAS COUNTY,1666,49,299,391,0,375,1263,1666,1186,-9999999,5,74,92,18
STATE,CAMPUS,2017-2018,170906011,AEP,ELEMENTARY / SECONDARY,170906,MAGNOLIA ISD,6,170,MONTGOMERY COUNTY,-9999999,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0
STATE,CAMPUS,2017-2018,15907117,AGNES COTTON ACADEMY,ELEMENTARY,15907,SAN ANTONIO ISD,20,15,BEXAR COUNTY,495,17,0,153,111,26,469,495,364,-9999999,6,45,20,9
STATE,CAMPUS,2017-2018,57914041,AGNEW MIDDLE,JUNIOR HIGH SCHOOL,57914,MESQUITE ISD,10,57,DALLAS COUNTY,831,71,167,114,0,109,601,831,436,0,-9999999,84,8,75
STATE,CAMPUS,2017-2018,178901101,AGUA DULCE ELEMENTARY SCHOOL,ELEMENTARY,178901,AGUA DULCE ISD,2,178,NUECES COUNTY,150,0,0,-9999999,0,-9999999,132,150,71,0,0,5,0,0
STATE,CAMPUS,2017-2018,178901001,AGUA DULCE H S,ELEMENTARY / SECONDARY,178901,AGUA DULCE ISD,2,178,NUECES COUNTY,188,-9999999,121,0,0,0,137,188,102,0,0,18,0,0
STATE,CAMPUS,2017-2018,101905043,AGUIRRE J H,MIDDLE SCHOOL,101905,CHANNELVIEW ISD,4,101,HARRIS COUNTY,1048,67,432,235,-9999999,203,809,1047,580,0,-9999999,94,18,12
STATE,CAMPUS,2017-2018,101849105,AIA LANCASTER EL,ELEMENTARY,101849,ACCELERATED INTERMEDIATE ACADEMY,4,101,HARRIS COUNTY,10,0,0,0,0,0,10,10,-9999999,0,0,0,0,0
STATE,CAMPUS,2017-2018,108909113,AIDA C ESCOBAR EL,ELEMENTARY,108909,PHARR-SAN JUAN-ALAMO ISD,1,108,HIDALGO COUNTY,810,22,0,408,393,-9999999,721,810,731,-9999999,0,41,0,5
STATE,CAMPUS,2017-2018,31901133,AIKEN EL,ELEMENTARY,31901,BROWNSVILLE ISD,1,31,CAMERON COUNTY,739,55,0,437,435,0,709,739,651,-9999999,0,77,35,22
STATE,CAMPUS,2017-2018,57916135,AIKIN EL,ELEMENTARY,57916,RICHARDSON ISD,10,57,DALLAS COUNTY,724,18,0,424,209,215,613,724,558,0,-9999999,59,-9999999,28
STATE,CAMPUS,2017-2018,139909109,AIKIN EL,ELEMENTARY,139909,PARIS ISD,8,139,LAMAR COUNTY,922,104,0,70,0,60,687,922,398,5,-9999999,123,19,22
STATE,CAMPUS,2017-2018,59901101,AIKMAN EL,ELEMENTARY,59901,HEREFORD ISD,16,59,DEAF SMITH COUNTY,428,7,0,94,68,21,394,428,268,7,-9999999,30,-9999999,5
STATE,CAMPUS,2017-2018,181907002,AIM CENTER H S,HIGH SCHOOL,181907,VIDOR ISD,5,181,ORANGE COUNTY,55,0,27,0,0,0,32,0,51,0,0,21,8,-9999999
STATE,CAMPUS,2017-2018,84902007,AIM COLLEGE & CAREER PREP,ELEMENTARY / SECONDARY,84902,GALVESTON ISD,4,84,GALVESTON COUNTY,77,0,18,5,0,6,64,77,62,0,0,7,6,6
STATE,CAMPUS,2017-2018,108913110,AIRPORT EL,ELEMENTARY,108913,WESLACO ISD,1,108,HIDALGO COUNTY,568,21,0,161,151,0,460,568,425,-9999999,-9999999,36,0,12
STATE,CAMPUS,2017-2018,95903102,AKIN EL,ELEMENTARY,95903,HALE CENTER ISD,17,95,HALE COUNTY,281,0,0,32,0,32,209,281,123,0,0,16,0,-9999999
STATE,CAMPUS,2017-2018,227901017,AKINS H S,HIGH SCHOOL,227901,AUSTIN ISD,13,227,TRAVIS COUNTY,2765,208,2429,398,0,384,1691,44,1621,0,0,332,45,210
STATE,CAMPUS,2017-2018,101911101,ALAMO EL,ELEMENTARY,101911,GOOSE CREEK CISD,4,101,HARRIS COUNTY,746,66,0,239,204,26,539,746,471,-9999999,-9999999,68,39,11
STATE,CAMPUS,2017-2018,186902102,ALAMO EL,ELEMENTARY,186902,FORT STOCKTON ISD,18,186,PECOS COUNTY,498,6,0,53,13,37,361,498,326,0,0,40,0,10
STATE,CAMPUS,2017-2018,15901001,ALAMO HEIGHTS H S,HIGH SCHOOL,15901,ALAMO HEIGHTS ISD,20,15,BEXAR COUNTY,1578,330,585,37,0,37,279,0,409,23,0,118,-9999999,115
STATE,CAMPUS,2017-2018,15901041,ALAMO HEIGHTS J H,MIDDLE SCHOOL,15901,ALAMO HEIGHTS ISD,20,15,BEXAR COUNTY,1100,310,0,61,38,46,225,0,313,17,0,91,-9999999,73
STATE,CAMPUS,2017-2018,165901041,ALAMO J H,JUNIOR HIGH SCHOOL,165901,MIDLAND ISD,18,165,MIDLAND COUNTY,732,25,373,76,0,70,406,732,521,7,5,57,11,56
STATE,CAMPUS,2017-2018,108909042,ALAMO MIDDLE,MIDDLE SCHOOL,108909,PHARR-SAN JUAN-ALAMO ISD,1,108,HIDALGO COUNTY,615,52,0,245,0,241,569,615,381,0,-9999999,55,0,5
STATE,CAMPUS,2017-2018,15908042,ALAN B SHEPARD MIDDLE,MIDDLE SCHOOL,15908,SOUTH SAN ANTONIO ISD,20,15,BEXAR COUNTY,556,59,0,94,0,93,507,556,349,5,-9999999,52,14,25
STATE,CAMPUS,2017-2018,250906101,ALBA-GOLDEN EL,ELEMENTARY,250906,ALBA-GOLDEN ISD,7,250,WOOD COUNTY,444,17,0,11,0,10,235,444,185,-9999999,12,44,19,22
STATE,CAMPUS,2017-2018,250906001,ALBA-GOLDEN H S,ELEMENTARY / SECONDARY,250906,ALBA-GOLDEN ISD,7,250,WOOD COUNTY,438,35,279,-9999999,0,-9999999,221,437,194,-9999999,10,52,31,29
STATE,CAMPUS,2017-2018,209901001,ALBANY JR-SR H S,HIGH SCHOOL,209901,ALBANY ISD,14,209,SHACKELFORD COUNTY,224,8,178,-9999999,0,-9999999,81,224,39,5,0,15,-9999999,9
STATE,CAMPUS,2017-2018,43907118,ALBERT & IOLA LEE DAVIS MALVERN EL,ELEMENTARY,43907,MCKINNEY ISD,10,43,COLLIN COUNTY,522,7,0,187,161,24,410,516,297,0,0,72,26,15
STATE,CAMPUS,2017-2018,116903104,ALBERT C WILLIAMS EL,ELEMENTARY,116903,COMMERCE ISD,10,116,HUNT COUNTY,348,26,0,53,0,53,235,348,240,-9999999,0,40,-9999999,24
STATE,CAMPUS,2017-2018,57905163,ALBERT SIDNEY JOHNSTON EL,ELEMENTARY,57905,DALLAS ISD,10,57,DALLAS COUNTY,410,37,0,117,115,0,361,410,196,0,0,47,0,5
STATE,CAMPUS,2017-2018,101903045,ALBRIGHT MIDDLE,JUNIOR HIGH SCHOOL,101903,ALIEF ISD,4,101,HARRIS COUNTY,1146,107,179,189,41,172,850,1146,927,-9999999,-9999999,73,21,37
STATE,CAMPUS,2017-2018,101912102,ALCOTT EL,ELEMENTARY,101912,HOUSTON ISD,4,101,HARRIS COUNTY,270,-9999999,0,61,42,15,264,270,192,0,0,24,11,5
STATE,CAMPUS,2017-2018,152901194,ALDERSON EL,ELEMENTARY,152901,LUBBOCK ISD,17,152,LUBBOCK COUNTY,569,5,0,15,0,11,559,569,518,0,10,71,18,-9999999
STATE,CAMPUS,2017-2018,101902001,ALDINE H S,HIGH SCHOOL,101902,ALDINE ISD,4,101,HARRIS COUNTY,2463,64,2171,662,0,641,2094,2463,1958,-9999999,-9999999,149,47,71
STATE,CAMPUS,2017-2018,101902099,ALDINE J J A E P,ELEMENTARY / SECONDARY,101902,ALDINE ISD,4,101,HARRIS COUNTY,-9999999,0,0,-9999999,0,-9999999,0,0,-9999999,0,0,0,0,0
STATE,CAMPUS,2017-2018,101902041,ALDINE MIDDLE,JUNIOR HIGH SCHOOL,101902,ALDINE ISD,4,101,HARRIS COUNTY,911,29,384,246,0,243,838,911,702,0,0,88,16,67
STATE,CAMPUS,2017-2018,101902081,ALDINE NINTH GRADE SCHOOL,HIGH SCHOOL,101902,ALDINE ISD,4,101,HARRIS COUNTY,840,39,689,211,0,192,769,840,649,0,5,38,5,27
STATE,CAMPUS,2017-2018,43910106,ALDRIDGE EL,ELEMENTARY,43910,PLANO ISD,10,43,COLLIN COUNTY,615,62,0,116,0,115,102,0,159,0,0,58,-9999999,16
STATE,CAMPUS,2017-2018,184907001,ALEDO H S,HIGH SCHOOL,184907,ALEDO ISD,11,184,PARKER COUNTY,1274,108,892,16,0,16,118,6,262,65,0,88,6,41
STATE,CAMPUS,2017-2018,184907041,ALEDO MIDDLE,JUNIOR HIGH SCHOOL,184907,ALEDO ISD,11,184,PARKER COUNTY,882,84,148,18,0,18,92,-9999999,200,24,-9999999,61,-9999999,42
STATE,CAMPUS,2017-2018,57905206,ALEX SANGER EL,ELEMENTARY,57905,DALLAS ISD,10,57,DALLAS COUNTY,506,93,0,227,313,-9999999,385,506,264,-9999999,-9999999,30,11,15
STATE,CAMPUS,2017-2018,57905355,ALEX SANGER PREPARATORY MIDDLE,MIDDLE SCHOOL,57905,DALLAS ISD,10,57,DALLAS COUNTY,180,48,57,100,86,39,157,180,129,0,-9999999,16,-9999999,6
STATE,CAMPUS,2017-2018,57905058,ALEX W SPENCE TALENTED/GIFTED ACAD,MIDDLE SCHOOL,57905,DALLAS ISD,10,57,DALLAS COUNTY,735,260,0,248,0,221,588,735,451,-9999999,0,60,28,30
STATE,CAMPUS,2017-2018,101903114,ALEXANDER EL,ELEMENTARY,101903,ALIEF ISD,4,101,HARRIS COUNTY,805,27,0,445,319,158,655,805,527,-9999999,-9999999,49,20,-9999999
STATE,CAMPUS,2017-2018,20908115,ALEXANDER MIDDLE,MIDDLE SCHOOL,20908,PEARLAND ISD,4,20,BRAZORIA COUNTY,806,43,0,9,0,0,185,14,201,23,-9999999,89,14,71
STATE,CAMPUS,2017-2018,71904104,ALFONSO BORREGO SR EL,ELEMENTARY,71904,SAN ELIZARIO ISD,19,71,EL PASO COUNTY,479,23,0,315,269,0,451,479,387,-9999999,0,59,11,5
STATE,CAMPUS,2017-2018,108904129,ALFONSO RAMIREZ EL,ELEMENTARY,108904,EDINBURG CISD,1,108,HIDALGO COUNTY,558,35,0,186,180,-9999999,441,558,283,0,5,32,-9999999,-9999999
STATE,CAMPUS,2017-2018,108909112,ALFRED SORENSEN EL,ELEMENTARY,108909,PHARR-SAN JUAN-ALAMO ISD,1,108,HIDALGO COUNTY,686,39,0,243,242,-9999999,561,686,572,-9999999,-9999999,43,-9999999,-9999999
STATE,CAMPUS,2017-2018,220905101,ALICE CARLSON APPLIED LRN CTR,ELEMENTARY,220905,FORT WORTH ISD,11,220,TARRANT COUNTY,393,86,0,14,0,12,51,0,237,-9999999,0,23,-9999999,13
STATE,CAMPUS,2017-2018,220905220,ALICE D CONTRERAS,ELEMENTARY,220905,FORT WORTH ISD,11,220,TARRANT COUNTY,668,33,0,355,358,-9999999,597,668,547,0,0,37,12,22
STATE,CAMPUS,2017-2018,125901001,ALICE H S,HIGH SCHOOL,125901,ALICE ISD,2,125,JIM WELLS COUNTY,1314,103,1309,46,0,42,684,1314,646,5,-9999999,113,18,72
STATE,CAMPUS,2017-2018,101905041,ALICE JOHNSON J H,MIDDLE SCHOOL,101905,CHANNELVIEW ISD,4,101,HARRIS COUNTY,1172,52,458,359,-9999999,342,923,1172,642,0,0,129,7,28
STATE,CAMPUS,2017-2018,220908101,ALICE PONDER EL,ELEMENTARY,220908,MANSFIELD ISD,11,220,TARRANT COUNTY,647,9,0,259,212,55,442,647,330,-9999999,-9999999,61,-9999999,-9999999
STATE,CAMPUS,2017-2018,14906140,ALICE W DOUSE EL,ELEMENTARY,14906,KILLEEN ISD,12,14,BELL COUNTY,866,26,0,64,0,56,313,864,341,417,14,92,9,28
STATE,CAMPUS,2017-2018,71905138,ALICIA R CHACON,ELEMENTARY,71905,YSLETA ISD,19,71,EL PASO COUNTY,777,95,79,380,552,0,520,777,438,8,0,51,5,11
STATE,CAMPUS,2017-2018,101903012,ALIEF EARLY COLLEGE H S,HIGH SCHOOL,101903,ALIEF ISD,4,101,HARRIS COUNTY,402,70,142,12,0,12,313,402,178,-9999999,0,-9999999,-9999999,5
