YEAR,DISTRICT ID,DESCRIPTION
2015,25902,INDEPENDENT TOWN
2015,161919,RURAL
2015,21902,OTHER CENTRAL CITY
2015,119901,RURAL
2015,166907,RURAL
2015,186901,RURAL
2015,145901,NON-METROPOLITAN STABLE
2015,212902,OTHER CENTRAL CITY SUBURBAN
2015,121903,NON-METROPOLITAN STABLE
2015,243901,OTHER CENTRAL CITY SUBURBAN
2015,176901,RURAL
2015,126902,OTHER CENTRAL CITY
2015,27903,OTHER CENTRAL CITY SUBURBAN
2015,71801,CHARTER SCHOOL DISTRICTS
2015,239903,RURAL
2015,188904,OTHER CENTRAL CITY SUBURBAN
2015,109902,RURAL
2015,101869,CHARTER SCHOOL DISTRICTS
2015,116901,NON-METROPOLITAN STABLE
2015,178903,NON-METROPOLITAN STABLE
2015,26901,OTHER CENTRAL CITY SUBURBAN
2015,29901,NON-METROPOLITAN STABLE
2015,49905,NON-METROPOLITAN STABLE
2015,198902,RURAL
2015,101837,CHARTER SCHOOL DISTRICTS
2015,166901,NON-METROPOLITAN STABLE
2015,116910,RURAL
2015,106901,NON-METROPOLITAN FAST GROWING
2015,234902,INDEPENDENT TOWN
2015,71907,MAJOR SUBURBAN
2015,191901,OTHER CENTRAL CITY
2015,201913,RURAL
2015,64903,OTHER CENTRAL CITY SUBURBAN
2015,220919,MAJOR SUBURBAN
2015,57903,MAJOR SUBURBAN
2015,183902,NON-METROPOLITAN STABLE
2015,220917,MAJOR SUBURBAN
2015,1902,RURAL
2015,57904,MAJOR SUBURBAN
2015,227817,CHARTER SCHOOL DISTRICTS
2015,116902,RURAL
2015,43903,NON-METROPOLITAN STABLE
2015,210901,INDEPENDENT TOWN
2015,133901,RURAL
2015,145902,RURAL
2015,228904,RURAL
2015,174908,NON-METROPOLITAN FAST GROWING
2015,3907,NON-METROPOLITAN STABLE
2015,101905,MAJOR SUBURBAN
2015,103901,RURAL
2015,227814,CHARTER SCHOOL DISTRICTS
2015,220815,CHARTER SCHOOL DISTRICTS
2015,212909,OTHER CENTRAL CITY SUBURBAN
2015,225906,NON-METROPOLITAN STABLE
2015,7901,RURAL
2015,206903,RURAL
2015,229906,RURAL
2015,249904,RURAL
2015,57811,CHARTER SCHOOL DISTRICTS
2015,38901,NON-METROPOLITAN STABLE
2015,99902,RURAL
2015,73901,RURAL
2015,161920,OTHER CENTRAL CITY SUBURBAN
2015,174901,RURAL
2015,139905,NON-METROPOLITAN STABLE
2015,226901,RURAL
2015,67902,NON-METROPOLITAN STABLE
2015,15832,CHARTER SCHOOL DISTRICTS
2015,243906,OTHER CENTRAL CITY SUBURBAN
2015,57841,CHARTER SCHOOL DISTRICTS
2015,65901,RURAL
2015,194904,RURAL
2015,6902,RURAL
2015,84910,MAJOR SUBURBAN
2015,126903,OTHER CENTRAL CITY SUBURBAN
2015,146901,OTHER CENTRAL CITY SUBURBAN
2015,18901,NON-METROPOLITAN STABLE
2015,71901,MAJOR SUBURBAN
2015,30902,OTHER CENTRAL CITY SUBURBAN
2015,114902,NON-METROPOLITAN STABLE
2015,204901,INDEPENDENT TOWN
2015,42901,NON-METROPOLITAN STABLE
2015,21901,OTHER CENTRAL CITY
2015,91902,RURAL
2015,229901,RURAL
2015,168901,NON-METROPOLITAN STABLE
2015,20907,OTHER CENTRAL CITY SUBURBAN
2015,45902,NON-METROPOLITAN STABLE
2015,46902,MAJOR SUBURBAN
2015,47901,NON-METROPOLITAN STABLE
2015,130902,INDEPENDENT TOWN
2015,116903,NON-METROPOLITAN STABLE
2015,43918,NON-METROPOLITAN STABLE
2015,112908,RURAL
2015,68802,CHARTER SCHOOL DISTRICTS
2015,101842,CHARTER SCHOOL DISTRICTS
2015,233903,RURAL
2015,161921,OTHER CENTRAL CITY SUBURBAN
2015,170902,OTHER CENTRAL CITY
2015,147901,RURAL
2015,60902,RURAL
2015,57922,MAJOR SUBURBAN
2015,50910,OTHER CENTRAL CITY SUBURBAN
2015,178904,OTHER CENTRAL CITY
2015,178807,CHARTER SCHOOL DISTRICTS
2015,187904,NON-METROPOLITAN STABLE
2015,175903,OTHER CENTRAL CITY SUBURBAN
2015,95902,RURAL
2015,142901,OTHER CENTRAL CITY SUBURBAN
2015,246914,RURAL
2015,109903,RURAL
2015,129901,MAJOR SUBURBAN
2015,52901,OTHER CENTRAL CITY SUBURBAN
2015,18908,RURAL
2015,161901,RURAL
2015,53001,NON-METROPOLITAN STABLE
2015,113901,NON-METROPOLITAN STABLE
2015,101906,MAJOR SUBURBAN
2015,54901,RURAL
2015,30901,RURAL
2015,107904,RURAL
2015,184801,CHARTER SCHOOL DISTRICTS
2015,78901,RURAL
2015,220912,MAJOR SUBURBAN
2015,254901,NON-METROPOLITAN STABLE
2015,62901,NON-METROPOLITAN STABLE
2015,55901,RURAL
2015,212801,CHARTER SCHOOL DISTRICTS
2015,112905,RURAL
2015,174902,RURAL
2015,101907,MAJOR SUBURBAN
2015,163902,RURAL
2015,172902,NON-METROPOLITAN STABLE
2015,56901,NON-METROPOLITAN STABLE
2015,57905,MAJOR URBAN
2015,20910,RURAL
2015,20904,RURAL
2015,148905,RURAL
2015,58902,RURAL
2015,175904,RURAL
2015,146902,INDEPENDENT TOWN
2015,47902,RURAL
2015,249905,INDEPENDENT TOWN
2015,101908,MAJOR SUBURBAN
2015,19901,RURAL
2015,227910,MAJOR SUBURBAN
2015,115903,RURAL
2015,91903,OTHER CENTRAL CITY SUBURBAN
2015,61901,OTHER CENTRAL CITY
2015,251901,NON-METROPOLITAN STABLE
2015,57906,MAJOR SUBURBAN
2015,194905,RURAL
2015,146903,RURAL
2015,163901,NON-METROPOLITAN STABLE
2015,81906,RURAL
2015,176903,RURAL
2015,3905,NON-METROPOLITAN STABLE
2015,84901,OTHER CENTRAL CITY
2015,82902,NON-METROPOLITAN STABLE
2015,144903,RURAL
2015,35901,OTHER CENTRAL CITY SUBURBAN
2015,133905,RURAL
2015,74904,NON-METROPOLITAN FAST GROWING
2015,108902,OTHER CENTRAL CITY SUBURBAN
2015,86024,RURAL
2015,174911,NON-METROPOLITAN FAST GROWING
2015,178801,CHARTER SCHOOL DISTRICTS
2015,101856,CHARTER SCHOOL DISTRICTS
2015,105904,MAJOR SUBURBAN
2015,178905,RURAL
2015,72902,NON-METROPOLITAN STABLE
2015,171901,NON-METROPOLITAN STABLE
2015,57907,MAJOR SUBURBAN
2015,220918,MAJOR SUBURBAN
2015,159901,OTHER CENTRAL CITY SUBURBAN
2015,227909,MAJOR SUBURBAN
2015,25909,NON-METROPOLITAN STABLE
2015,241902,OTHER CENTRAL CITY SUBURBAN
2015,15911,MAJOR SUBURBAN
2015,36903,INDEPENDENT TOWN
2015,220811,CHARTER SCHOOL DISTRICTS
2015,92801,CHARTER SCHOOL DISTRICTS
2015,67903,NON-METROPOLITAN STABLE
2015,68901,OTHER CENTRAL CITY
2015,74905,RURAL
2015,108903,OTHER CENTRAL CITY SUBURBAN
2015,48901,RURAL
2015,15905,MAJOR SUBURBAN
2015,234903,NON-METROPOLITAN STABLE
2015,108904,OTHER CENTRAL CITY
2015,120901,NON-METROPOLITAN STABLE
2015,57833,CHARTER SCHOOL DISTRICTS
2015,123805,CHARTER SCHOOL DISTRICTS
2015,241903,INDEPENDENT TOWN
2015,71804,CHARTER SCHOOL DISTRICTS
2015,71902,MAJOR URBAN
2015,71810,CHARTER SCHOOL DISTRICTS
2015,15836,CHARTER SCHOOL DISTRICTS
2015,243902,RURAL
2015,11902,NON-METROPOLITAN STABLE
2015,1903,NON-METROPOLITAN STABLE
2015,102906,NON-METROPOLITAN STABLE
2015,70903,OTHER CENTRAL CITY
2015,49906,RURAL
2015,72802,CHARTER SCHOOL DISTRICTS
2015,174910,RURAL
2015,30906,RURAL
2015,107905,NON-METROPOLITAN STABLE
2015,121906,RURAL
2015,50901,INDEPENDENT TOWN
2015,220904,MAJOR SUBURBAN
2015,57834,CHARTER SCHOOL DISTRICTS
2015,101811,CHARTER SCHOOL DISTRICTS
2015,108809,CHARTER SCHOOL DISTRICTS
2015,210906,RURAL
2015,143906,RURAL
2015,71903,NON-METROPOLITAN STABLE
2015,81902,NON-METROPOLITAN STABLE
2015,57815,CHARTER SCHOOL DISTRICTS
2015,101867,CHARTER SCHOOL DISTRICTS
2015,128904,RURAL
2015,60914,RURAL
2015,43904,NON-METROPOLITAN STABLE
2015,185902,RURAL
2015,75906,RURAL
2015,70905,MAJOR SUBURBAN
2015,75901,RURAL
2015,246902,NON-METROPOLITAN STABLE
2015,247901,INDEPENDENT TOWN
2015,178914,OTHER CENTRAL CITY SUBURBAN
2015,77901,RURAL
2015,57817,CHARTER SCHOOL DISTRICTS
2015,148902,RURAL
2015,169910,RURAL
2015,129902,MAJOR SUBURBAN
2015,114904,RURAL
2015,79907,MAJOR SUBURBAN
2015,242906,RURAL
2015,186902,NON-METROPOLITAN STABLE
2015,220809,CHARTER SCHOOL DISTRICTS
2015,220905,MAJOR URBAN
2015,198903,OTHER CENTRAL CITY SUBURBAN
2015,1904,RURAL
2015,86901,INDEPENDENT TOWN
2015,66903,RURAL
2015,152907,OTHER CENTRAL CITY SUBURBAN
2015,84911,NON-METROPOLITAN STABLE
2015,185903,NON-METROPOLITAN STABLE
2015,43905,OTHER CENTRAL CITY
2015,175905,RURAL
2015,234909,RURAL
2015,122901,RURAL
2015,115901,RURAL
2015,15914,NON-METROPOLITAN STABLE
2015,49901,INDEPENDENT TOWN
2015,101910,MAJOR SUBURBAN
2015,84902,OTHER CENTRAL CITY
2015,120902,RURAL
2015,57909,MAJOR SUBURBAN
2015,184911,RURAL
2015,174903,RURAL
2015,183904,RURAL
2015,50902,OTHER CENTRAL CITY SUBURBAN
2015,240801,CHARTER SCHOOL DISTRICTS
2015,57831,CHARTER SCHOOL DISTRICTS
2015,166902,RURAL
2015,15802,CHARTER SCHOOL DISTRICTS
2015,101804,CHARTER SCHOOL DISTRICTS
2015,149901,NON-METROPOLITAN STABLE
2015,246904,OTHER CENTRAL CITY
2015,161925,RURAL
2015,144901,NON-METROPOLITAN STABLE
2015,230902,OTHER CENTRAL CITY SUBURBAN
2015,101805,CHARTER SCHOOL DISTRICTS
2015,92901,OTHER CENTRAL CITY SUBURBAN
2015,87901,RURAL
2015,213901,NON-METROPOLITAN STABLE
2015,101866,CHARTER SCHOOL DISTRICTS
2015,126911,MAJOR SUBURBAN
2015,169906,RURAL
2015,57835,CHARTER SCHOOL DISTRICTS
2015,167901,RURAL
2015,88902,NON-METROPOLITAN STABLE
2015,89901,NON-METROPOLITAN STABLE
2015,187903,RURAL
2015,101911,MAJOR SUBURBAN
2015,182901,RURAL
2015,67904,RURAL
2015,156905,RURAL
2015,182902,RURAL
2015,252901,NON-METROPOLITAN STABLE
2015,111901,OTHER CENTRAL CITY SUBURBAN
2015,57910,MAJOR SUBURBAN
2015,234904,NON-METROPOLITAN STABLE
2015,238904,RURAL
2015,126904,NON-METROPOLITAN STABLE
2015,90905,RURAL
2015,246905,RURAL
2015,226907,OTHER CENTRAL CITY SUBURBAN
2015,113902,RURAL
2015,220906,MAJOR SUBURBAN
2015,15835,CHARTER SCHOOL DISTRICTS
2015,116905,INDEPENDENT TOWN
2015,165902,OTHER CENTRAL CITY SUBURBAN
2015,205902,OTHER CENTRAL CITY SUBURBAN
2015,147902,NON-METROPOLITAN STABLE
2015,33901,RURAL
2015,228901,RURAL
2015,98901,RURAL
2015,91917,RURAL
2015,47903,RURAL
2015,135001,RURAL
2015,95903,RURAL
2015,143901,NON-METROPOLITAN FAST GROWING
2015,161924,RURAL
2015,102904,OTHER CENTRAL CITY SUBURBAN
2015,97902,RURAL
2015,127903,RURAL
2015,123914,OTHER CENTRAL CITY SUBURBAN
2015,219901,RURAL
2015,146904,NON-METROPOLITAN STABLE
2015,100905,OTHER CENTRAL CITY SUBURBAN
2015,15904,MAJOR SUBURBAN
2015,102905,RURAL
2015,31903,OTHER CENTRAL CITY SUBURBAN
2015,230905,INDEPENDENT TOWN
2015,101858,CHARTER SCHOOL DISTRICTS
2015,101862,CHARTER SCHOOL DISTRICTS
2015,71806,CHARTER SCHOOL DISTRICTS
2015,15828,CHARTER SCHOOL DISTRICTS
2015,161807,CHARTER SCHOOL DISTRICTS
2015,101846,CHARTER SCHOOL DISTRICTS
2015,227816,CHARTER SCHOOL DISTRICTS
2015,86902,RURAL
2015,244901,RURAL
2015,35902,RURAL
2015,103902,RURAL
2015,225907,NON-METROPOLITAN FAST GROWING
2015,104901,RURAL
2015,250902,RURAL
2015,127904,RURAL
2015,105906,MAJOR SUBURBAN
2015,198905,OTHER CENTRAL CITY SUBURBAN
2015,65902,RURAL
2015,202903,NON-METROPOLITAN STABLE
2015,237902,NON-METROPOLITAN STABLE
2015,201902,INDEPENDENT TOWN
2015,39902,OTHER CENTRAL CITY SUBURBAN
2015,15833,CHARTER SCHOOL DISTRICTS
2015,59901,OTHER CENTRAL CITY SUBURBAN
2015,208901,RURAL
2015,97903,RURAL
2015,108905,OTHER CENTRAL CITY SUBURBAN
2015,148903,RURAL
2015,15803,CHARTER SCHOOL DISTRICTS
2015,84903,RURAL
2015,177905,RURAL
2015,57911,MAJOR SUBURBAN
2015,188903,NON-METROPOLITAN STABLE
2015,109904,INDEPENDENT TOWN
2015,84908,OTHER CENTRAL CITY SUBURBAN
2015,14905,NON-METROPOLITAN FAST GROWING
2015,5902,OTHER CENTRAL CITY SUBURBAN
2015,163904,INDEPENDENT TOWN
2015,74907,RURAL
2015,19902,RURAL
2015,101828,CHARTER SCHOOL DISTRICTS
2015,101821,CHARTER SCHOOL DISTRICTS
2015,101829,CHARTER SCHOOL DISTRICTS
2015,101912,MAJOR URBAN
2015,91905,OTHER CENTRAL CITY SUBURBAN
2015,19913,RURAL
2015,109905,RURAL
2015,72908,RURAL
2015,3902,NON-METROPOLITAN STABLE
2015,101925,NON-METROPOLITAN STABLE
2015,34903,INDEPENDENT TOWN
2015,146905,RURAL
2015,101913,MAJOR SUBURBAN
2015,133902,RURAL
2015,3904,NON-METROPOLITAN STABLE
2015,236902,INDEPENDENT TOWN
2015,220916,MAJOR SUBURBAN
2015,246906,OTHER CENTRAL CITY SUBURBAN
2015,152910,OTHER CENTRAL CITY SUBURBAN
2015,108807,CHARTER SCHOOL DISTRICTS
2015,108801,CHARTER SCHOOL DISTRICTS
2015,43801,CHARTER SCHOOL DISTRICTS
2015,120905,NON-METROPOLITAN STABLE
2015,205903,OTHER CENTRAL CITY SUBURBAN
2015,133904,NON-METROPOLITAN STABLE
2015,57830,CHARTER SCHOOL DISTRICTS
2015,57848,CHARTER SCHOOL DISTRICTS
2015,93903,RURAL
2015,243903,OTHER CENTRAL CITY SUBURBAN
2015,208903,RURAL
2015,186903,RURAL
2015,18906,RURAL
2015,118902,RURAL
2015,57912,MAJOR SUBURBAN
2015,70907,RURAL
2015,109907,RURAL
2015,119902,NON-METROPOLITAN STABLE
2015,37904,INDEPENDENT TOWN
2015,246907,NON-METROPOLITAN FAST GROWING
2015,121904,INDEPENDENT TOWN
2015,132902,RURAL
2015,57819,CHARTER SCHOOL DISTRICTS
2015,155901,NON-METROPOLITAN STABLE
2015,124901,NON-METROPOLITAN STABLE
2015,221911,NON-METROPOLITAN STABLE
2015,210902,RURAL
2015,15808,CHARTER SCHOOL DISTRICTS
2015,16901,RURAL
2015,50909,RURAL
2015,126905,OTHER CENTRAL CITY SUBURBAN
2015,7902,NON-METROPOLITAN FAST GROWING
2015,15822,CHARTER SCHOOL DISTRICTS
2015,15916,MAJOR SUBURBAN
2015,134901,RURAL
2015,102901,RURAL
2015,128901,NON-METROPOLITAN STABLE
2015,105801,CHARTER SCHOOL DISTRICTS
2015,101914,MAJOR SUBURBAN
2015,129903,OTHER CENTRAL CITY SUBURBAN
2015,126906,NON-METROPOLITAN STABLE
2015,220907,MAJOR SUBURBAN
2015,242905,RURAL
2015,129904,OTHER CENTRAL CITY SUBURBAN
2015,131001,RURAL
2015,128902,RURAL
2015,113906,RURAL
2015,220914,MAJOR SUBURBAN
2015,175907,RURAL
2015,248901,OTHER CENTRAL CITY SUBURBAN
2015,133903,INDEPENDENT TOWN
2015,92902,OTHER CENTRAL CITY SUBURBAN
2015,14906,OTHER CENTRAL CITY
2015,137901,INDEPENDENT TOWN
2015,227820,CHARTER SCHOOL DISTRICTS
2015,57837,CHARTER SCHOOL DISTRICTS
2015,101813,CHARTER SCHOOL DISTRICTS
2015,15826,CHARTER SCHOOL DISTRICTS
2015,121905,NON-METROPOLITAN STABLE
2015,101915,MAJOR SUBURBAN
2015,58905,RURAL
2015,232901,NON-METROPOLITAN FAST GROWING
2015,138902,RURAL
2015,18907,RURAL
2015,100903,NON-METROPOLITAN STABLE
2015,219905,RURAL
2015,61905,OTHER CENTRAL CITY SUBURBAN
2015,57839,CHARTER SCHOOL DISTRICTS
2015,101833,CHARTER SCHOOL DISTRICTS
2015,71807,CHARTER SCHOOL DISTRICTS
2015,31905,NON-METROPOLITAN STABLE
2015,125906,RURAL
2015,75902,INDEPENDENT TOWN
2015,108912,OTHER CENTRAL CITY
2015,84904,OTHER CENTRAL CITY SUBURBAN
2015,101916,MAJOR SUBURBAN
2015,254902,RURAL
2015,161906,OTHER CENTRAL CITY SUBURBAN
2015,247903,INDEPENDENT TOWN
2015,108914,RURAL
2015,15913,NON-METROPOLITAN STABLE
2015,227912,NON-METROPOLITAN STABLE
2015,61912,OTHER CENTRAL CITY SUBURBAN
2015,227913,MAJOR SUBURBAN
2015,220910,MAJOR SUBURBAN
2015,79901,OTHER CENTRAL CITY
2015,58906,NON-METROPOLITAN STABLE
2015,141901,OTHER CENTRAL CITY SUBURBAN
2015,57913,MAJOR SUBURBAN
2015,201903,RURAL
2015,107910,RURAL
2015,240901,OTHER CENTRAL CITY SUBURBAN
2015,245901,RURAL
2015,113905,RURAL
2015,185904,RURAL
2015,61804,CHARTER SCHOOL DISTRICTS
2015,193902,RURAL
2015,246913,MAJOR SUBURBAN
2015,19914,RURAL
2015,90902,RURAL
2015,57846,CHARTER SCHOOL DISTRICTS
2015,187906,RURAL
2015,145911,RURAL
2015,74909,NON-METROPOLITAN STABLE
2015,110902,NON-METROPOLITAN STABLE
2015,201904,RURAL
2015,61902,MAJOR SUBURBAN
2015,144902,NON-METROPOLITAN STABLE
2015,246908,OTHER CENTRAL CITY SUBURBAN
2015,146906,NON-METROPOLITAN STABLE
2015,19908,NON-METROPOLITAN STABLE
2015,57807,CHARTER SCHOOL DISTRICTS
2015,15825,CHARTER SCHOOL DISTRICTS
2015,212903,OTHER CENTRAL CITY SUBURBAN
2015,34905,RURAL
2015,49907,RURAL
2015,72909,RURAL
2015,111902,RURAL
2015,181908,INDEPENDENT TOWN
2015,61914,OTHER CENTRAL CITY SUBURBAN
2015,140904,NON-METROPOLITAN STABLE
2015,187907,INDEPENDENT TOWN
2015,150901,NON-METROPOLITAN STABLE
2015,28902,OTHER CENTRAL CITY SUBURBAN
2015,77902,RURAL
2015,160905,RURAL
2015,141902,RURAL
2015,178906,NON-METROPOLITAN FAST GROWING
2015,116906,NON-METROPOLITAN STABLE
2015,92903,OTHER CENTRAL CITY
2015,83902,RURAL
2015,168902,RURAL
2015,161907,NON-METROPOLITAN STABLE
2015,54902,RURAL
2015,31906,OTHER CENTRAL CITY SUBURBAN
2015,241906,RURAL
2015,43919,NON-METROPOLITAN STABLE
2015,113903,RURAL
2015,152901,OTHER CENTRAL CITY
2015,152906,OTHER CENTRAL CITY SUBURBAN
2015,127905,RURAL
2015,3903,INDEPENDENT TOWN
2015,28903,INDEPENDENT TOWN
2015,100907,OTHER CENTRAL CITY SUBURBAN
2015,57805,CHARTER SCHOOL DISTRICTS
2015,245902,NON-METROPOLITAN STABLE
2015,7904,NON-METROPOLITAN STABLE
2015,129905,OTHER CENTRAL CITY SUBURBAN
2015,154901,NON-METROPOLITAN STABLE
2015,170906,OTHER CENTRAL CITY SUBURBAN
2015,84801,CHARTER SCHOOL DISTRICTS
2015,107906,NON-METROPOLITAN STABLE
2015,109908,RURAL
2015,19910,RURAL
2015,57844,CHARTER SCHOOL DISTRICTS
2015,227907,MAJOR SUBURBAN
2015,220908,MAJOR SUBURBAN
2015,22902,RURAL
2015,27904,INDEPENDENT TOWN
2015,189901,RURAL
2015,94904,OTHER CENTRAL CITY SUBURBAN
2015,73903,NON-METROPOLITAN STABLE
2015,102902,INDEPENDENT TOWN
2015,161908,RURAL
2015,234905,RURAL
2015,174909,RURAL
2015,157901,RURAL
2015,158904,RURAL
2015,205904,NON-METROPOLITAN STABLE
2015,19903,RURAL
2015,25905,RURAL
2015,70915,OTHER CENTRAL CITY SUBURBAN
2015,108906,OTHER CENTRAL CITY
2015,231901,RURAL
2015,11905,RURAL
2015,161909,NON-METROPOLITAN STABLE
2015,43907,OTHER CENTRAL CITY SUBURBAN
2015,90903,RURAL
2015,34906,RURAL
2015,162904,RURAL
2015,223902,NON-METROPOLITAN FAST GROWING
2015,130801,CHARTER SCHOOL DISTRICTS
2015,101801,CHARTER SCHOOL DISTRICTS
2015,10901,RURAL
2015,163908,MAJOR SUBURBAN
2015,43908,NON-METROPOLITAN FAST GROWING
2015,96904,RURAL
2015,164901,RURAL
2015,108907,OTHER CENTRAL CITY SUBURBAN
2015,18902,RURAL
2015,246801,CHARTER SCHOOL DISTRICTS
2015,221904,OTHER CENTRAL CITY SUBURBAN
2015,57914,MAJOR SUBURBAN
2015,147903,NON-METROPOLITAN STABLE
2015,101855,CHARTER SCHOOL DISTRICTS
2015,62906,RURAL
2015,197902,RURAL
2015,165802,CHARTER SCHOOL DISTRICTS
2015,165901,OTHER CENTRAL CITY
2015,70908,OTHER CENTRAL CITY
2015,108804,CHARTER SCHOOL DISTRICTS
2015,39905,RURAL
2015,161903,OTHER CENTRAL CITY SUBURBAN
2015,166903,RURAL
2015,175910,INDEPENDENT TOWN
2015,200902,RURAL
2015,70909,RURAL
2015,112907,RURAL
2015,184904,OTHER CENTRAL CITY SUBURBAN
2015,250903,INDEPENDENT TOWN
2015,182903,INDEPENDENT TOWN
2015,108908,OTHER CENTRAL CITY SUBURBAN
2015,238902,OTHER CENTRAL CITY SUBURBAN
2015,169908,RURAL
2015,108915,OTHER CENTRAL CITY SUBURBAN
2015,227826,CHARTER SCHOOL DISTRICTS
2015,170903,OTHER CENTRAL CITY SUBURBAN
2015,161910,RURAL
2015,209902,RURAL
2015,18903,RURAL
2015,72910,RURAL
2015,40901,RURAL
2015,173901,RURAL
2015,143902,RURAL
2015,109910,RURAL
2015,201907,RURAL
2015,225902,INDEPENDENT TOWN
